policy_id,producer_id,producer_name,agency_commission,producer_split_pct,producer_commission,house_commission,payable_month,paid
MER-P00056,E001,Mark Walker,1138.2,20,227.64,910.56,2025-05,Y
MER-P00057,E001,Mark Walker,18401.04,25,4600.26,13800.78,2025-10,Y
MER-P00058,E006,Betty Delgado,799.2,25,199.8,599.4,2025-05,Y
MER-P00059,E006,Betty Delgado,3215.4,30,964.62,2250.78,2025-07,Y
MER-P00060,E004,Susan Rodriguez,2180.4,20,436.08,1744.32,2026-03,N
MER-P00061,E004,Susan Rodriguez,7377.6,25,1844.4,5533.2,2025-11,Y
MER-P00062,E004,Susan Rodriguez,2009.64,25,502.41,1507.23,2025-09,Y
MER-P00063,E004,Susan Rodriguez,2162.85,25,540.71,1622.14,2025-08,Y
MER-P00064,E004,Susan Rodriguez,7139.64,25,1784.91,5354.73,2025-08,Y
MER-P00065,E004,Susan Rodriguez,2631.0,30,789.3,1841.7,2025-09,Y
MER-P00066,E002,Karen Delgado,7703.04,20,1540.61,6162.43,2025-06,Y
MER-P00067,E002,Karen Delgado,653.1,35,228.58,424.52,2025-07,Y
MER-P00068,E002,Karen Delgado,13624.56,35,4768.6,8855.96,2025-05,Y
MER-P00069,E002,Karen Delgado,9705.3,35,3396.85,6308.44,2025-05,Y
MER-P00070,E002,Karen Delgado,5157.9,30,1547.37,3610.53,2025-05,Y
MER-P00071,E002,Karen Delgado,3619.42,20,723.88,2895.54,2025-05,Y
MER-P00072,E005,Hiro Wright,9757.02,40,3902.81,5854.21,2025-08,Y
MER-P00073,E005,Hiro Wright,2109.0,25,527.25,1581.75,2025-12,Y
MER-P00074,E005,Hiro Wright,16120.72,30,4836.22,11284.5,2025-07,Y
MER-P00075,E001,Mark Walker,3000.48,25,750.12,2250.36,2025-08,Y
MER-P00076,E001,Mark Walker,2874.45,20,574.89,2299.56,2025-08,Y
MER-P00077,E001,Mark Walker,1229.85,40,491.94,737.91,2025-10,Y
MER-P00078,E001,Mark Walker,10026.3,20,2005.26,8021.04,2025-10,Y
MER-P00079,E001,Mark Walker,9199.95,25,2299.99,6899.96,2025-06,Y
MER-P00080,E001,Mark Walker,17529.15,35,6135.2,11393.95,2026-03,N
MER-P00081,E006,Betty Delgado,5620.68,20,1124.14,4496.54,2025-08,Y
MER-P00082,E006,Betty Delgado,2694.48,20,538.9,2155.58,2025-11,Y
MER-P00083,E002,Karen Delgado,1390.8,25,347.7,1043.1,2026-03,N
MER-P00084,E002,Karen Delgado,2974.2,20,594.84,2379.36,2026-03,N
MER-P00085,E002,Karen Delgado,2227.8,40,891.12,1336.68,2025-10,Y
MER-P00086,E003,Joseph Garcia,2296.84,30,689.05,1607.79,2025-08,Y
MER-P00087,E003,Joseph Garcia,21422.1,30,6426.63,14995.47,2025-05,Y
MER-P00088,E003,Joseph Garcia,4464.15,20,892.83,3571.32,2025-12,Y
MER-P00089,E003,Joseph Garcia,8315.25,20,1663.05,6652.2,2025-04,Y
MER-P00090,E003,Joseph Garcia,1113.12,25,278.28,834.84,2025-07,Y
MER-P00091,E003,Joseph Garcia,9506.88,20,1901.38,7605.5,2026-02,N
MER-P00092,E003,Joseph Garcia,890.16,20,178.03,712.13,2025-04,Y
MER-P00093,E005,Hiro Wright,8229.3,25,2057.32,6171.97,2025-06,Y
MER-P00094,E005,Hiro Wright,5771.92,35,2020.17,3751.75,2025-07,Y
MER-P00095,E005,Hiro Wright,11535.3,25,2883.82,8651.47,2025-11,Y
MER-P00096,E006,Betty Delgado,576.1,20,115.22,460.88,2025-08,Y
MER-P00097,E006,Betty Delgado,12227.04,25,3056.76,9170.28,2025-04,Y
MER-P00098,E006,Betty Delgado,1031.7,35,361.09,670.61,2025-05,Y
MER-P00099,E006,Betty Delgado,1681.35,20,336.27,1345.08,2025-04,Y
MER-P00100,E006,Betty Delgado,5173.5,25,1293.38,3880.12,2026-01,Y
MER-P00101,E006,Betty Delgado,6648.3,25,1662.08,4986.23,2025-10,Y
MER-P00102,E006,Betty Delgado,4175.55,25,1043.89,3131.66,2025-12,Y
MER-P00103,E006,Betty Delgado,11917.35,20,2383.47,9533.88,2025-05,Y
MER-P00104,E006,Betty Delgado,3697.65,20,739.53,2958.12,2025-11,Y
MER-P00105,E006,Betty Delgado,17247.3,25,4311.82,12935.47,2025-07,Y
MER-P00106,E006,Betty Delgado,4453.68,20,890.74,3562.94,2025-12,Y
MER-P00107,E006,Betty Delgado,1591.35,25,397.84,1193.51,2025-12,Y
MER-P00108,E008,Donna Robinson,1592.7,40,637.08,955.62,2026-03,N
MER-P00109,E008,Donna Robinson,5169.3,35,1809.25,3360.05,2025-08,Y
MER-P00110,E008,Donna Robinson,7582.05,25,1895.51,5686.54,2025-09,Y
MER-P00111,E008,Donna Robinson,7539.75,40,3015.9,4523.85,2025-04,Y
MER-P00112,E008,Donna Robinson,3728.55,20,745.71,2982.84,2025-04,Y
MER-P00113,E008,Donna Robinson,13234.0,20,2646.8,10587.2,2025-09,Y
MER-P00114,E008,Donna Robinson,2884.92,20,576.98,2307.94,2025-05,Y
MER-P00115,E008,Donna Robinson,8301.86,20,1660.37,6641.49,2025-05,Y
MER-P00116,E008,Donna Robinson,8082.0,20,1616.4,6465.6,2025-06,Y
MER-P00117,E008,Donna Robinson,1988.7,30,596.61,1392.09,2025-04,Y
MER-P00118,E008,Donna Robinson,9433.92,20,1886.78,7547.14,2025-09,Y
MER-P00119,E002,Karen Delgado,5139.24,30,1541.77,3597.47,2025-06,Y
MER-P00120,E002,Karen Delgado,18556.95,25,4639.24,13917.71,2025-09,Y
MER-P00121,E007,Omar Clark,289.1,25,72.28,216.83,2025-12,Y
MER-P00122,E007,Omar Clark,13965.84,20,2793.17,11172.67,2025-08,Y
