Shipment Id,Delivered Date,Signed By,Exceptions,Source
SH-50087,21-Jun-2025,P. Lopez,,Carrier API
SH-50088 ,2025-08-08,L. Nguyen,,Scanned POD
SH-50089,2025-11-07,J. Okafor,,Carrier API
SH-50091,"Oct 05, 2025",R. Clark,1 carton damaged,Carrier API
SH-50092,2025-06-10,A. Nakamura,,Carrier API
SH-50093,2026-01-03,A. Jones,,Driver app
SH-50094,2026-01-06,L. Okafor,1 carton damaged,Scanned POD
SH-50095,2026-01-18,B. Schneider,Short 1 carton,Driver app
SH-50096,2026-01-12,M. Hernandez,,Carrier API
SH-50097,2025-08-08,K. Martinez,,Scanned POD
SH-50098,2026-02-06,S. Lopez,,Carrier API
SH-50099,2025-07-29,J. Jones,,Driver app
SH-50101,2025-10-17,R. Patel,,Carrier API
SH-50102,08/21/2025,R. Scott,Short 1 carton,Driver app
SH-50103,2025-08-29,E. Martin,,Scanned POD
SH-50104,2025-06-27,S. Scott,,Scanned POD
SH-50105,2025-12-25,G. Jones,,Carrier API
SH-50106,2025-07-30,E. Brown,Short 1 carton,Carrier API
SH-50107,09/03/25,L. Harris,,Carrier API
SH-50109,2025-06-20,D. Harris,,Carrier API
SH-50110,2025-04-28,W. Garcia,,Carrier API
SH-50111,2025-10-15,R. Smith,Short 1 carton,Scanned POD
SH-50112,2026-01-20,S. Wright,,Carrier API
SH-50113,2025-11-23,P. Moore,,Carrier API
SH-50115,03/31/26,N. Lewis,1 carton damaged,Scanned POD
SH-50117,2025-08-01,K. Jackson,,Carrier API
SH-50118,2025-09-17,S. Moore,,Scanned POD
SH-50120,2026-01-02,F. King,Short 1 carton,Carrier API
SH-50121,2026-03-09,S. Jackson,,Carrier API
SH-50122,2025-10-21,M. Miller,,Carrier API
SH-50123,2026-03-22,B. Harris,1 carton damaged,Scanned POD
SH-50125,2025-05-18,J. Smith,,Carrier API
SH-50126,"Jan 24, 2026",A. Martinez,,Carrier API
SH-50127,2026-01-05,K. Wright,,Carrier API
SH-50129,2026-03-25,P. Okafor,Short 1 carton,Carrier API
SH-50130,2025-10-03,M. Jackson,1 carton damaged,Carrier API
SH-50132,"Mar 20, 2026",E. Lewis,,Carrier API
SH-50133,2025-11-03,E. Jones,,Carrier API
SH-50134,2026-02-02,L. Nakamura,,Driver app
SH-50136,2025-05-06,J. Lopez,1 carton damaged,Driver app
SH-50137,2025-11-09,E. Garcia,1 carton damaged,Carrier API
SH-50140,2025-06-05,M. Harris,,Driver app
SH-50141,2025-07-12,K. Brown,,Scanned POD
SH-50142,2026-01-29,K. Brown,,Driver app
SH-50143,06/26/2025,K. Smith,,Scanned POD
SH-50144,2025-07-01,W. Lewis,,Driver app
SH-50145,2025-08-16,O. Brown,,Carrier API
SH-50146,2026-01-13,L. Davis,,Driver app
SH-50147,2025-08-23,S. Garcia,1 carton damaged,Scanned POD
SH-50148,2025-10-23,J. King,1 carton damaged,Scanned POD
SH-50149,2026-01-01,E. Smith,Short 1 carton,Driver app
SH-50150,2025-08-08,D. Lee,1 carton damaged,Carrier API
SH-50151,2025-07-19,A. Robinson,,Carrier API
SH-50152,2025-12-27,A. White,,Carrier API
SH-50153,2025-12-21,W. Garcia,,Scanned POD
SH-50155,2026-01-01,L. Choi,Short 1 carton,Carrier API
SH-50156,2025-06-30,C. Jones,Short 1 carton,Carrier API
SH-50158,"Mar 19, 2026",K. Walker,,Driver app
SH-50159,2026-03-30,P. Young,,Scanned POD
SH-50160,2025-07-10,L. Clark,,Carrier API
SH-50161,2025-11-28,H. Martinez,1 carton damaged,Carrier API
SH-50162,2025-11-28,D. Jones,Short 1 carton,Carrier API
SH-50163,2025-05-25,O. Jackson,,Scanned POD
SH-50164,2025-12-14,S. Scott ,Short 1 carton,Scanned POD
SH-50165,2025-12-09,C. Martin ,,Carrier API
SH-50168,2026-03-24,P. Lee,,Carrier API
SH-50170,2025-04-21,K. Martin,,Carrier API
SH-50171,2025-11-24,A. Davis,,Scanned POD
SH-50172,2026-02-04,R. Okafor,Short 1 carton,Driver app
SH-50174,2025-12-02,S. Fitzgerald,1 carton damaged,Carrier API
SH-50176,10/02/2025,E. Hernandez,,Carrier API
SH-50177,2025-10-19,L. Garcia,1 carton damaged,Scanned POD
SH-50178,2025-06-24,N. Walker,Short 1 carton,Driver app
SH-50179,2025-05-30,J. Thompson,,Scanned POD
SH-50180,2026-03-24,S. Garcia,Short 1 carton,Driver app
SH-50181,2026-03-08,T. Scott,,Scanned POD
SH-50183,2025-11-20,E. Lopez,,Scanned POD
SH-50184,2025-04-24,S. Anderson,,Scanned POD
SH-50185 ,2025-05-29,S. Lee,1 carton damaged,Carrier API
SH-50186,2026-03-02,T. Anderson,,Driver app
SH-50187,2026-01-26 ,K. Jones,,Carrier API
SH-50189,2026-02-21,A. Lewis,1 carton damaged,Carrier API
SH-50190,2025-12-25,M. Miller,1 carton damaged,Carrier API
SH-50191,"Oct 30, 2025",J. Clark,,Scanned POD
SH-50194,2025-05-23 ,S. Robinson,,Carrier API
SH-50195,2025-09-02,B. Scott,,Scanned POD
SH-50196,03/28/2026,D. Thompson,1 carton damaged,Carrier API
SH-50197,2025-07-13,D. Jones,,Carrier API
SH-50199,2025-09-03,R. Garcia,,Carrier API
SH-50200,2025-05-25,B. Miller,1 carton damaged,Carrier API
SH-50201,2025-11-28,B. Wright,Short 1 carton,Driver app
SH-50202,2025-05-28,J. Miller,,Driver app
SH-50203,2025-07-19,E. Okafor,,Scanned POD
SH-50206,2025-07-09,K. Rodriguez,,Carrier API
SH-50207,2026-01-04,A. Walker,,Carrier API
SH-50208,2026-03-06,M. Lewis,Short 1 carton,Scanned POD
SH-50209,2025-11-02,A. Thomas,,Scanned POD
SH-50210,2026-03-23,D. Lopez,,Carrier API
SH-50211,2026-03-10,E. Delgado,1 carton damaged,Scanned POD
SH-50212,2026-01-12,T. Kowalski,1 carton damaged,Scanned POD
SH-50214,2026-02-22,H. Hernandez,Short 1 carton,Carrier API
SH-50217,"Nov 16, 2025",E. Hernandez,,Scanned POD
SH-50218,2025-05-14,L. Choi,,Carrier API
SH-50219,2026-03-12,B. Fitzgerald,,Carrier API
SH-50220,2025-12-20,M. Nakamura ,,Scanned POD
SH-50222,2025-05-18,D. Anderson,Short 1 carton,Carrier API
SH-50223,2025-05-12,J. Davis,,Carrier API
SH-50225,15-Jun-2025,A. O'Brien,,Carrier API
SH-50226,2026-02-02,R. Scott,Short 1 carton,Carrier API
SH-50227,2025-09-01,D. Wright,,Driver app
SH-50228 ,2026-01-12,E. Moore,Short 1 carton,Carrier API
SH-50229,2026-01-18,J. Robinson,Short 1 carton,Scanned POD
SH-50230,2025-12-27,P. Jones,1 carton damaged,Carrier API
SH-50231,2025-11-22,E. Clark,,Scanned POD
SH-50233,2025-08-06,E. O'Brien,Short 1 carton,Carrier API
SH-50235,02/17/2026,O. Walker,,Carrier API
SH-50236,01/14/2026,J. Delgado,,Scanned POD
SH-50237,2026-03-15,L. Rodriguez,,Driver app
SH-50239,2025-05-15,W. King,,Scanned POD
SH-50240,"Jun 19, 2025",L. Taylor ,1 carton damaged,Carrier API
SH-50243,2025-11-25,D. Davis,,Driver app
SH-50244,2025-10-12,G. Williams,,Scanned POD
SH-50245,2025-09-07,A. Martin,1 carton damaged,Carrier API
SH-50246,2025-06-10,L. Allen,,Scanned POD
SH-50247,2026-01-23,A. Robinson,Short 1 carton,Carrier API
SH-50248,02-Nov-2025,P. Young,,Carrier API
SH-50249,2026-01-12,R. Martin,,Driver app
SH-50250,2025-12-08,N. Walker,Short 1 carton,Carrier API
SH-50251,2025-12-16,P. Anderson,,Scanned POD
SH-50253,2025-10-23,J. Nakamura,,Scanned POD
SH-50254,2025-08-07,P. Lewis,1 carton damaged,Driver app
SH-50255,2026-03-11,D. Taylor,,Carrier API
SH-50256,2025-05-10,L. Smith,,Carrier API
SH-50257,2025-08-20,T. Young,,Scanned POD
SH-50259,2025-06-03,J. Nguyen,,Scanned POD
SH-50261,10/27/2025,P. Delgado,,Driver app
SH-50262,2025-06-29,S. King,,Carrier API
SH-50263,2025-08-23,M. Johnson,Short 1 carton,Driver app
SH-50265,2026-01-30,P. Lee,1 carton damaged,Carrier API
SH-50267,2025-07-27,P. Fitzgerald,1 carton damaged,Scanned POD
SH-50268,"Aug 09, 2025",E. Scott,,Carrier API
SH-50269,2025-09-25,M. Thomas,Short 1 carton,Scanned POD
SH-50270,2026-03-19,J. Jones,,Scanned POD
SH-50271,"Mar 18, 2026",P. Harris,,Scanned POD
SH-50272,2025-10-07,W. Young,1 carton damaged,Scanned POD
SH-50273,2026-03-19,L. Thompson,,Carrier API
SH-50274,2026-02-10,D. Jackson,Short 1 carton,Carrier API
SH-50277,2026-01-07,S. Choi,,Carrier API
SH-50280,2026-01-01,E. Okafor,,Carrier API
SH-50281,2025-09-18,H. Nakamura,1 carton damaged,Carrier API
SH-50284,2025-05-10,D. Harris,,Driver app
SH-50285,2025-05-13,K. Smith,,Scanned POD
SH-50287,2025-12-11,R. Patel,1 carton damaged,Scanned POD
SH-50289,2026-02-25,E. Johnson,,Carrier API
SH-50290,2025-07-16,M. Jones,Short 1 carton,Carrier API
SH-50291,2025-07-24,D. Lewis,,Carrier API
SH-50292,2026-02-20,N. Wright,,Carrier API
SH-50296,2025-05-24,E. Taylor ,,Scanned POD
SH-50299,2026-02-16,M. Martin,Short 1 carton,Carrier API
SH-50300,2025-07-19,E. Moore,1 carton damaged,Driver app
SH-50301,2026-02-12,R. King,1 carton damaged,Scanned POD
SH-50302,2026-02-05,R. Scott,1 carton damaged,Driver app
SH-50304,2025-11-08,G. Schneider ,,Driver app
SH-50306,2025-06-14,E. Walker,,Scanned POD
SH-50307,2025-10-24,S. Davis,Short 1 carton,Scanned POD
SH-50309,2025-08-15,O. Miller,,Driver app
SH-50310,2025-07-25,G. Fitzgerald,Short 1 carton,Carrier API
SH-50311,2026-01-27,E. Lee,,Carrier API
SH-50312,2026-02-21,D. Fitzgerald,1 carton damaged,Driver app
SH-50314,2025-08-04,S. Brown,1 carton damaged,Driver app
SH-50316,2026-03-25,S. Garcia,,Scanned POD
SH-50319,2025-07-05,P. Walker,Short 1 carton,Scanned POD
SH-50320,2025-06-30,S. Walker,,Scanned POD
SH-50321,2025-09-13,S. Young,Short 1 carton,Scanned POD
SH-50322,2026-01-12,D. Patel,,Carrier API
SH-50323,2025-12-31,S. Lewis,,Scanned POD
SH-50326,2025-06-30,C. Allen,1 carton damaged,Driver app
SH-50327,2025-07-05,L. Miller,,Scanned POD
SH-50330,2025-12-18,A. Jackson,Short 1 carton,Driver app
SH-50332,2025-12-23,R. Nguyen,,Driver app
SH-50333,2025-07-14,W. White,,Driver app
SH-50334,2025-12-27,T. Wright,,Carrier API
SH-50335,2026-03-11,J. Smith,,Carrier API
SH-50336,2025-05-10,M. Wilson,,Driver app
SH-50337,"Jan 09, 2026",L. Lee,,Carrier API
SH-50338,2025-11-04,E. Thomas,Short 1 carton,Driver app
SH-50339,2025-07-29,L. Okafor,,Driver app
SH-50344,2025-06-04,S. Young,,Carrier API
SH-50345,2025-12-02,M. Davis,1 carton damaged,Carrier API
SH-50347,2026-02-13,D. Lewis,,Driver app
SH-50348,2025-12-10,L. Smith,,Driver app
SH-50349,2025-04-27,J. Miller,1 carton damaged,Driver app
SH-50350,2025-10-24,S. Harris,1 carton damaged,Carrier API
SH-50351,2026-01-13,P. Fitzgerald,1 carton damaged,Carrier API
SH-50352,2026-02-18,A. Brown,,Carrier API
SH-50353,2025-06-15,J. Lopez,,Carrier API
SH-50356,2025-07-23,M. Brown,,Driver app
SH-50357,2026-02-13,C. Jones,,Driver app
SH-50358,2025-08-07,S. Wright,1 carton damaged,Carrier API
SH-50359,2026-03-16,M. Moore,,Scanned POD
SH-50360,"Jul 12, 2025",A. Robinson,,Carrier API
SH-50361,2025-07-22,W. Fitzgerald,,Carrier API
SH-50362,2025-12-02,J. Moore,,Scanned POD
SH-50363,2026-02-26,W. Robinson,,Driver app
SH-50364,2025-06-28,J. Robinson,,Carrier API
SH-50365,2025-12-29,P. Scott,,Scanned POD
SH-50366,2025-06-24,M. Davis,1 carton damaged,Scanned POD
SH-50367,2025-12-23,L. O'Brien,1 carton damaged,Scanned POD
SH-50368,2026-03-11,J. Kowalski,,Carrier API
SH-50369,2025-05-09,J. Okafor,,Carrier API
SH-50370,2026-01-28,G. Brown,,Scanned POD
SH-50371,2026-03-24,O. Martin,,Driver app
SH-50373,2026-01-18,T. Nakamura,Short 1 carton,Carrier API
SH-50374,2025-06-08,W. O'Brien,,Carrier API
SH-50375,2026-03-28,E. Hernandez,,Carrier API
SH-50376,2026-03-09,M. Rodriguez,,Carrier API
SH-50377,02-Nov-2025,K. Nakamura,Short 1 carton,Driver app
SH-50378,2025-10-28,J. O'Brien,1 carton damaged,Carrier API
SH-50379,2025-07-11,B. Martin,,Driver app
SH-50380,2025-11-18,L. Lee,1 carton damaged,Carrier API
SH-50381,"Dec 17, 2025",A. Johnson,,Driver app
SH-50385,09/10/25,R. Thompson,1 carton damaged,Carrier API
SH-50386,2025-11-04,E. Okafor,,Driver app
SH-50388,2026-02-02,L. Schneider,,Carrier API
SH-50389,2025-06-02,S. Brown,,Driver app
SH-50390,2026-01-05,D. Jackson,,Carrier API
SH-50391,2026-01-30,S. Moore,,Carrier API
SH-50392 ,2025-05-27,M. Scott,1 carton damaged,Carrier API
SH-50393,2025-09-28,J. Wright,,Driver app
SH-50394,2025-09-21,D. Robinson,,Carrier API
SH-50396,2025-05-19,T. Young,1 carton damaged,Carrier API
SH-50398,2025-05-02,M. Johnson,,Scanned POD
SH-50401,2025-08-26,M. Nakamura,,Scanned POD
SH-50402,2025-07-30 ,J. King,,Driver app
SH-50403,2025-08-25,B. Wilson,,Driver app
SH-50405,2026-02-03,S. Fitzgerald,,Driver app
SH-50407,"Aug 31, 2025",E. Lee,,Carrier API
SH-50409,2025-11-21,S. Walker,,Driver app
SH-50410,11/26/2025,B. White,,Carrier API
SH-50411,2025-08-09,M. Jackson,,Carrier API
SH-50412,2025-10-08,E. Nguyen,,Carrier API
SH-50413,2025-12-13,P. Nakamura,,Carrier API
SH-50414,2025-05-23,N. Williams,,Carrier API
SH-50415,2025-07-08,F. Choi,Short 1 carton,Driver app
SH-50416,2025-10-20,L. Wright,,Carrier API
SH-50417,2025-07-20,M. Jackson,Short 1 carton,Carrier API
SH-50418,2026-03-13,K. Robinson,,Carrier API
SH-50419,"Oct 28, 2025",R. Wright,,Carrier API
SH-50420,2026-01-24,A. Smith,Short 1 carton,Carrier API
SH-50421,2025-09-17,F. Allen,1 carton damaged,Carrier API
SH-50422,06/29/25,M. Delgado,,Scanned POD
SH-50423,2025-08-12,M. Garcia,,Carrier API
SH-50424,"Sep 23, 2025",E. Nguyen,,Carrier API
SH-50425,2025-12-31,A. Brown,,Carrier API
SH-50426,2025-12-06,L. Jackson,,Carrier API
SH-50427,2025-10-15,F. Martin,,Carrier API 
SH-50428,2025-04-26,M. Choi,Short 1 carton,Carrier API
SH-50429,07/30/2025,S. Scott,,Carrier API
SH-50431,2026-02-23,O. Wright,Short 1 carton,Carrier API
SH-50432,2026-02-19,L. Taylor,,Carrier API
SH-50433,2026-03-01,O. Harris,,Scanned POD
SH-50434,2026-03-26,E. Nakamura,,Driver app
SH-50435,2025-06-23,L. Smith ,Short 1 carton,Driver app
SH-50436,2025-06-21,S. Rodriguez,1 carton damaged,Scanned POD
SH-50438,2025-10-02,M. Nguyen,,Carrier API
SH-50440,2025-11-27,A. O'Brien,1 carton damaged,Driver app
SH-50442,2025-09-20,G. Clark,Short 1 carton,Scanned POD
SH-50444,2025-07-23,A. Martin,,Carrier API
SH-50446,2025-05-29,M. Allen,,Carrier API
SH-50447,2025-06-26,G. Jackson,1 carton damaged,Driver app
SH-50449,2025-12-20,B. Smith,Short 1 carton,Carrier API
SH-50450,02/16/26,A. Thompson,,Scanned POD
SH-50454,2025-06-25,C. Choi,1 carton damaged,Carrier API
SH-50455 ,2025-11-16,A. Harris,,Scanned POD
SH-50457,2025-09-14,R. Robinson,1 carton damaged,Carrier API
SH-50458,2026-02-23,J. Johnson,,Driver app
SH-50459,2025-06-15,D. Thomas,Short 1 carton,Scanned POD
SH-50460,2025-08-06,B. Wright,,Scanned POD
SH-50463,2025-11-03,J. Schneider,1 carton damaged,Driver app
SH-50464,2025-06-05,S. Lee,,Scanned POD
SH-50466,2026-02-25 ,P. Thompson,1 carton damaged,Carrier API
SH-50467,2025-10-19,O. O'Brien,,Carrier API
SH-50468,2025-12-07,O. Smith,1 carton damaged,Carrier API
SH-50469,2025-10-06,E. Allen,,Scanned POD
SH-50470,2026-02-10,K. Rodriguez,1 carton damaged,Carrier API
SH-50472,2026-03-13,E. Patel,Short 1 carton,Carrier API
SH-50474 ,2025-10-30,C. Young,,Carrier API
SH-50476,2025-09-08,M. Walker,,Driver app
SH-50477,2025-11-07,K. Smith,,Scanned POD
SH-50478 ,2025-07-26,J. Williams,,Carrier API
SH-50479,2026-03-02,N. Jones,,Carrier API
SH-50480,2026-03-19,F. Anderson,,Carrier API
SH-50481,"Oct 07, 2025",S. Walker,1 carton damaged,Driver app
SH-50483,24-Apr-2025,T. Patel,Short 1 carton,Scanned POD
SH-50484,2025-09-04,E. Anderson,Short 1 carton,Carrier API
SH-50485,2025-12-17,E. Walker,1 carton damaged,Driver app
SH-50486,2025-06-12,W. Lopez,1 carton damaged,Carrier API
SH-50488,2025-10-15,A. Harris,,Driver app
