Policy Id,Producer Id,Producer Name,Agency Commission,Producer Split Pct,Producer Commission,House Commission,Payable Month,Paid
HAR-P00051,E003,Matthew Choi,1687.32,25,421.83,1265.49,2026-01,Y
HAR-P00052,E003,Matthew Choi,2162.81,20,432.56,1730.25,2026-03,N
HAR-P00053,E003,Matthew Choi,11638.76,25,2909.69,8729.07,2025-07,Y
HAR-P00054,E004,Priya Martinez,5851.95,30,1755.58,4096.36,2025-04,Y
HAR-P00055 ,E004,Priya Martinez,814.08,30,244.22,569.86,2025-12 ,Y 
HAR-P00056,E004,Priya Martinez,19727.95,20,3945.59,15782.36,2026-01,Y
HAR-P00057,E004,Priya Martinez,7041.06,20,1408.21,5632.85,2026-03,N
HAR-P00058,E004,Priya Martinez,7482.24,25,1870.56,5611.68,2025-07,Y
HAR-P00059,E004,Priya Martinez,11164.16,20,2232.83,8931.33,2025-11,Y
HAR-P00060 ,E005,Priya Garcia,3792.6,25,948.15,2844.45,2026-01,Y
HAR-P00061,E005,Priya Garcia,661.88,25,165.47,496.41,2026-02,N
HAR-P00062,E005,Priya Garcia,793.66,20,158.73,634.93,2025-06,Y
HAR-P00063,E003,Matthew Choi,4304.88,20,860.98,3443.9,2026-03,N
HAR-P00064,E003,Matthew Choi,2967.84,20,593.57,2374.27,2026-02,Y
HAR-P00065,E003,Matthew Choi,5895.72,25,1473.93,4421.79,2025-06,Y
HAR-P00066,E003,Matthew Choi ,4649.92,20,929.98,3719.94,2025-04,Y
HAR-P00067,E001,Betty Rodriguez,7661.52,20,1532.3,6129.22,2025-09,Y
HAR-P00068,E001,Betty Rodriguez,3726.54,30,1117.96,2608.58,2025-08,Y
HAR-P00069,E001,Betty Rodriguez,12605.88,20,2521.18,10084.7,2025-12,Y
HAR-P00070,E001,Betty Rodriguez,13182.65,25,3295.66,9886.99,2025-09,Y
HAR-P00071,E004,Priya Martinez,4980.0,35,1743.0,3237.0,2025-10,Y
HAR-P00072,E004,Priya Martinez,2031.25,20,406.25,1625.0,2026-01,Y
HAR-P00073,E004,Priya Martinez,2659.44,20,531.89,2127.55,2025-10,Y
HAR-P00074,E004,Priya Martinez,1765.5,40,706.2,1059.3,2025-08,Y
HAR-P00075,E004,Priya Martinez,14344.68,25,3586.17,10758.51,2025-06,Y
HAR-P00076,E005,Priya Garcia,2233.01,20,446.6,1786.41,2025-08,Y
HAR-P00077,E005,Priya Garcia,2479.32,25,619.83,1859.49,2025-11,Y
HAR-P00078,E005,Priya Garcia,9503.9,20,1900.78,7603.12,2025-08,Y
HAR-P00079,E005,Priya Garcia,7575.88,20,1515.18,6060.7,2025-04,Y
HAR-P00080,E005,Priya Garcia,4763.0,35,1667.05,3095.95,2026-01,Y
HAR-P00081,E005,Priya Garcia,1586.65,25,396.66,1189.99,2025-06,Y
HAR-P00082,E005,Priya Garcia,1731.12,35,605.89,1125.23,2026-03,N
HAR-P00083,E004,Priya Martinez,1371.88,35,480.16,891.72,2025-04,Y
HAR-P00084,E004,Priya Martinez,6678.98,25,1669.74,5009.23,2026-02,N
HAR-P00085,E004,Priya Martinez,5315.76,20,1063.15,4252.61,2026-01,Y
HAR-P00086,E001,Betty Rodriguez,826.42,40,330.57,495.85,2025-10 ,Y
HAR-P00087,E001,Betty Rodriguez,23118.48,25,5779.62,17338.86,2026-03,N
HAR-P00088,E004,Priya Martinez,1851.12,30,555.34,1295.78,2026-02,N
HAR-P00089,E004,Priya Martinez,3843.96,20,768.79,3075.17,2025-11,Y
HAR-P00090,E004,Priya Martinez,1361.16,40,544.46,816.7,2025-11 ,Y 
HAR-P00091,E004 ,Priya Martinez ,3695.44,40,1478.18,2217.26,2025-06,Y
HAR-P00092,E004,Priya Martinez,3071.52,20,614.3,2457.22,2025-06 ,Y
HAR-P00093,E005,Priya Garcia,9446.5,20,1889.3,7557.2,2026-01,Y
HAR-P00094,E005,Priya Garcia,8781.6,25,2195.4,6586.2,2025-10,Y
HAR-P00095,E005,Priya Garcia,10511.28,20,2102.26,8409.02,2025-06,Y
HAR-P00096,E004,Priya Martinez,3069.04,25,767.26,2301.78,2026-03,N
HAR-P00097,E004,Priya Martinez,18121.32,25,4530.33,13590.99,2025-10,Y
HAR-P00098,E004,Priya Martinez,13639.92,20,2727.98,10911.94,2026-03,N
HAR-P00099,E004,Priya Martinez,2974.8,20,594.96,2379.84,2025-11,Y
