rfq_id,customer_id,received_date,channel,requested_by,due_date,assigned_to,status
NIC-RFQ0022,NIC-CUST0006,2025-10-09,Email,Carlos Moore,2025-10-11,E066,Quoted
NIC-RFQ0023,NIC-CUST0037,2026-03-19,Phone,David Delgado,2026-03-20,E068,Quoted
NIC-RFQ0024,NIC-CUST0020,2025-04-28,EDI 840,Thomas Thompson,2025-04-30,E068,Quoted
NIC-RFQ0025,NIC-CUST0019,2025-03-26,EDI 840,Hiro Choi,2025-03-31,E075,Quoted
NIC-RFQ0026,NIC-CUST0010,2025-12-14,Email,Andrew King,2025-12-19,E064,Quoted
NIC-RFQ0027,NIC-CUST0030,2025-08-16,Email,Maria Harris,2025-08-20,E064,Quoted
NIC-RFQ0028,NIC-CUST0011,2025-11-06,EDI 840,Paul Walker,2025-11-11,E064,Quoted
NIC-RFQ0029,NIC-CUST0004,2026-02-13,Email,David Thompson,2026-02-16,E068,Quoted
NIC-RFQ0030,NIC-CUST0035,2026-02-26,Email,Ashley Jackson,2026-03-03,E068,Quoted
NIC-RFQ0031,NIC-CUST0011,2025-06-24,Email,Paul Walker,2025-06-26,E068,Quoted
NIC-RFQ0032,NIC-CUST0002,2025-09-04,Email,Michael Moore,2025-09-08,E068,Quoted
NIC-RFQ0033,NIC-CUST0008,2025-08-12,Email,Joseph Miller,2025-08-19,E075,Quoted
NIC-RFQ0034,NIC-CUST0031,2025-11-01,Email,Wei Brown,2025-11-06,E075,Quoted
NIC-RFQ0035,NIC-CUST0008,2026-02-22,Phone,Donna Martin,2026-02-28,E073,Quoted
NIC-RFQ0036,NIC-CUST0015,2025-04-21,EDI 840,Grace Thompson,2025-04-25,E065,Quoted
NIC-RFQ0037,NIC-CUST0024,2026-03-10,EDI 840,Sandra Rodriguez,2026-03-14,E073,Quoted
NIC-RFQ0038,NIC-CUST0015,2025-05-14,Phone,Grace Thompson,2025-05-21,E067,Quoted
NIC-RFQ0039,NIC-CUST0039,2025-10-24,Email,Elena King,2025-10-31,E073,Quoted
NIC-RFQ0040,NIC-CUST0001,2025-04-06,Email,Grace Robinson,2025-04-10,E064,Quoted
NIC-RFQ0041,NIC-CUST0034,2025-08-25,Email,Sandra Miller,2025-08-26,E068,Quoted
NIC-RFQ0042,NIC-CUST0001,2025-05-18,Phone,Lisa Thompson,2025-05-21,E065,Quoted
NIC-RFQ0043,NIC-CUST0030,2025-04-23,Phone,Maria Harris,2025-04-30,E073,Quoted
NIC-RFQ0044,NIC-CUST0031,2026-03-15,Email,Joseph White,2026-03-17,E074,Quoted
NIC-RFQ0045,NIC-CUST0021,2026-02-07,Portal,Brian Schneider,2026-02-12,E066,Quoted
NIC-RFQ0046,NIC-CUST0006,2025-04-11,Email,Donna Delgado,2025-04-19,E073,Quoted
NIC-RFQ0047,NIC-CUST0013,2025-11-06,Email,Joseph Brown,2025-11-10,E065,Quoted
NIC-RFQ0048,NIC-CUST0037,2025-07-21,EDI 840,David Delgado,2025-07-28,E068,Quoted
NIC-RFQ0049,NIC-CUST0008,2025-03-27,Email,Joseph Miller,2025-03-28,E065,Quoted
NIC-RFQ0050,NIC-CUST0003,2025-03-17,Phone,Lisa Harris,2025-03-21,E067,Quoted
NIC-RFQ0051,NIC-CUST0013,2025-04-10,Phone,Priya Anderson,2025-04-17,E068,Quoted
NIC-RFQ0052,NIC-CUST0002,2025-12-24,Email,Michael Moore,2025-12-29,E068,Quoted
NIC-RFQ0053,NIC-CUST0025,2025-10-31,Phone,Steven Martinez,2025-11-02,E065,Quoted
NIC-RFQ0054,NIC-CUST0013,2025-07-25,EDI 840,Joseph Brown,2025-07-29,E067,Quoted
NIC-RFQ0055,NIC-CUST0022,2025-09-04,Email,Michael Taylor,2025-09-06,E075,Quoted
NIC-RFQ0056,NIC-CUST0014,2025-12-04,Portal,Priya Nguyen,2025-12-07,E067,Quoted
NIC-RFQ0057,NIC-CUST0037,2025-05-13,Email,Daniel Okafor,2025-05-19,E067,Quoted
NIC-RFQ0058,NIC-CUST0025,2025-08-06,Email,Matthew Jackson,2025-08-10,E074,Quoted
NIC-RFQ0059,NIC-CUST0015,2025-10-14,Phone,Brian Wilson,2025-10-21,E075,Quoted
NIC-RFQ0060,NIC-CUST0006,2025-08-25,EDI 840,Donna Delgado,2025-09-01,E067,Quoted
NIC-RFQ0061,NIC-CUST0040,2025-10-28,Email,Luis Patel,2025-11-01,E074,Quoted
NIC-RFQ0062,NIC-CUST0007,2025-06-23,Portal,Priya Nguyen,2025-06-30,E073,Quoted
NIC-RFQ0063,NIC-CUST0023,2025-12-28,Portal,Susan Young,2026-01-03,E068,Quoted
NIC-RFQ0064,NIC-CUST0011,2026-01-04,EDI 840,Paul Walker,2026-01-11,E068,Quoted
NIC-RFQ0065,NIC-CUST0030,2025-12-20,Portal,Maria Harris,2025-12-24,E073,Quoted
NIC-RFQ0066,NIC-CUST0001,2025-11-29,EDI 840,Paul Williams,2025-12-04,E066,Quoted
NIC-RFQ0067,NIC-CUST0003,2025-07-08,Portal,William O'Brien,2025-07-12,E073,Quoted
NIC-RFQ0068,NIC-CUST0023,2025-06-18,Portal,Maria Choi,2025-06-23,E066,Quoted
NIC-RFQ0069,NIC-CUST0029,2025-06-03,Email,Fatima Allen,2025-06-11,E075,Quoted
NIC-RFQ0070,NIC-CUST0008,2025-06-23,EDI 840,Joseph Miller,2025-07-01,E065,Quoted
NIC-RFQ0071,NIC-CUST0026,2025-12-11,Email,Karen Anderson,2025-12-16,E067,Quoted
NIC-RFQ0072,NIC-CUST0033,2025-09-24,EDI 840,Sarah Patel,2025-09-28,E064,Quoted
NIC-RFQ0073,NIC-CUST0008,2025-06-09,Phone,Joseph Miller,2025-06-11,E068,Quoted
NIC-RFQ0074,NIC-CUST0008,2025-07-10,EDI 840,Donna Martin,2025-07-15,E064,Quoted
NIC-RFQ0075,NIC-CUST0013,2025-04-19,Email,Elizabeth Thompson,2025-04-24,E065,Quoted
NIC-RFQ0076,NIC-CUST0023,2025-07-20,Email,Susan Young,2025-07-26,E073,Quoted
NIC-RFQ0077,NIC-CUST0005,2025-08-19,Email,Lisa King,2025-08-20,E075,Quoted
NIC-RFQ0078,NIC-CUST0029,2025-04-18,Portal,Fatima Allen,2025-04-24,E068,Quoted
NIC-RFQ0079,NIC-CUST0017,2025-11-21,EDI 840,Lisa Rodriguez,2025-11-27,E065,Quoted
NIC-RFQ0080,NIC-CUST0002,2026-03-07,Portal,Michael Moore,2026-03-13,E066,Quoted
NIC-RFQ0081,NIC-CUST0007,2026-03-23,Email,Priya Nguyen,2026-03-27,E074,Quoted
NIC-RFQ0082,NIC-CUST0035,2025-11-10,EDI 840,Ashley Jackson,2025-11-13,E066,Quoted
NIC-RFQ0083,NIC-CUST0033,2025-06-05,Portal,Sarah Patel,2025-06-09,E064,Quoted
NIC-RFQ0084,NIC-CUST0030,2025-06-21,Email,Maria Harris,2025-06-27,E075,Quoted
NIC-RFQ0085,NIC-CUST0040,2026-01-06,Phone,Omar Martin,2026-01-12,E075,Quoted
NIC-RFQ0086,NIC-CUST0031,2025-03-11,Email,Joseph White,2025-03-13,E065,Quoted
NIC-RFQ0087,NIC-CUST0001,2025-07-22,Phone,Lisa Thompson,2025-07-26,E075,Quoted
NIC-RFQ0088,NIC-CUST0017,2025-08-19,Portal,Lisa Rodriguez,2025-08-25,E074,Quoted
NIC-RFQ0089,NIC-CUST0010,2025-06-22,Email,Andrew King,2025-06-26,E066,Quoted
NIC-RFQ0090,NIC-CUST0030,2025-08-13,Portal,Paul Nguyen,2025-08-21,E074,Quoted
NIC-RFQ0091,NIC-CUST0034,2025-03-21,EDI 840,Linda Smith,2025-03-26,E065,Quoted
NIC-RFQ0092,NIC-CUST0009,2025-09-23,Phone,Steven Lopez,2025-09-27,E066,Quoted
NIC-RFQ0093,NIC-CUST0004,2026-02-12,Email,David Thompson,2026-02-16,E075,Quoted
NIC-RFQ0094,NIC-CUST0015,2025-11-25,Phone,Brian Wilson,2025-12-01,E066,Quoted
NIC-RFQ0095,NIC-CUST0026,2026-02-18,Portal,Karen Anderson,2026-02-23,E074,Quoted
NIC-RFQ0096,NIC-CUST0017,2025-09-19,Email,Lisa Rodriguez,2025-09-25,E075,Quoted
NIC-RFQ0097,NIC-CUST0017,2025-10-28,Email,Jessica Harris,2025-11-02,E068,Quoted
NIC-RFQ0098,NIC-CUST0024,2025-05-21,EDI 840,Thomas Wilson,2025-05-25,E064,Quoted
NIC-RFQ0099,NIC-CUST0013,2025-08-24,Email,Joseph Brown,2025-08-28,E075,Quoted
NIC-RFQ0100,NIC-CUST0019,2025-07-16,Email,Hiro Choi,2025-07-17,E065,Quoted
NIC-RFQ0101,NIC-CUST0040,2025-04-19,Portal,Omar Martin,2025-04-25,E064,Quoted
NIC-RFQ0102,NIC-CUST0014,2025-07-16,Phone,Priya Nguyen,2025-07-23,E067,Quoted
NIC-RFQ0103,NIC-CUST0014,2025-11-08,Email,Priya Nguyen,2025-11-15,E074,Quoted
NIC-RFQ0104,NIC-CUST0026,2025-12-25,Email,Michael Allen,2025-12-30,E067,Quoted
NIC-RFQ0105,NIC-CUST0004,2025-11-20,Portal,David Thompson,2025-11-24,E066,Quoted
NIC-RFQ0106,NIC-CUST0037,2025-05-03,Email,Daniel Okafor,2025-05-04,E064,Quoted
NIC-RFQ0107,NIC-CUST0037,2025-10-19,Portal,Daniel Okafor,2025-10-23,E064,Quoted
NIC-RFQ0108,NIC-CUST0023,2025-08-02,Email,David Thomas,2025-08-09,E067,Quoted
NIC-RFQ0109,NIC-CUST0031,2025-09-19,Phone,Wei Brown,2025-09-25,E066,Quoted
NIC-RFQ0110,NIC-CUST0040,2026-02-10,Portal,Luis Patel,2026-02-13,E073,Quoted
NIC-RFQ0111,NIC-CUST0035,2026-02-03,EDI 840,Ashley Jackson,2026-02-08,E065,Quoted
NIC-RFQ0112,NIC-CUST0038,2025-06-11,Portal,Brian Nguyen,2025-06-19,E064,Quoted
NIC-RFQ0113,NIC-CUST0002,2025-08-26,Portal,Michael Moore,2025-09-01,E068,Quoted
NIC-RFQ0114,NIC-CUST0014,2025-09-28,Phone,Priya Nguyen,2025-09-30,E067,Quoted
NIC-RFQ0115,NIC-CUST0003,2026-03-06,Portal,Lisa Harris,2026-03-10,E066,Quoted
NIC-RFQ0116,NIC-CUST0019,2025-10-29,EDI 840,Betty Moore,2025-10-31,E074,Quoted
NIC-RFQ0117,NIC-CUST0012,2025-07-27,Phone,Wei Young,2025-08-01,E067,Quoted
NIC-RFQ0118,NIC-CUST0003,2025-10-11,Portal,Lisa Harris,2025-10-15,E064,Quoted
NIC-RFQ0119,NIC-CUST0034,2025-06-02,Portal,Sandra Miller,2025-06-09,E064,Quoted
NIC-RFQ0120,NIC-CUST0007,2025-11-03,Email,Priya Nguyen,2025-11-07,E066,Quoted
NIC-RFQ0121,NIC-CUST0035,2025-12-19,Phone,Ashley Jackson,2025-12-25,E067,Quoted
NIC-RFQ0122,NIC-CUST0038,2025-05-09,Phone,Sandra Delgado,2025-05-13,E066,Quoted
NIC-RFQ0123,NIC-CUST0012,2025-04-02,Portal,Brian Jones,2025-04-06,E066,Quoted
NIC-RFQ0124,NIC-CUST0017,2025-04-15,EDI 840,Jessica Harris,2025-04-18,E073,Quoted
NIC-RFQ0125,NIC-CUST0033,2025-09-06,EDI 840,Sarah Patel,2025-09-14,E065,Quoted
NIC-RFQ0126,NIC-CUST0014,2025-08-21,Email,Priya Nguyen,2025-08-26,E065,Quoted
NIC-RFQ0127,NIC-CUST0006,2025-09-17,Phone,Carlos Moore,2025-09-20,E073,Quoted
NIC-RFQ0128,NIC-CUST0022,2025-11-07,EDI 840,Carlos Davis,2025-11-13,E066,Quoted
NIC-RFQ0129,NIC-CUST0018,2026-03-07,Email,Michael Thomas,2026-03-09,E073,Quoted
NIC-RFQ0130,NIC-CUST0040,2025-11-19,Email,Omar Martin,2025-11-21,E068,Quoted
NIC-RFQ0131,NIC-CUST0030,2025-12-18,Email,James White,2025-12-19,E065,Quoted
NIC-RFQ0132,NIC-CUST0038,2025-09-04,Email,Brian Nguyen,2025-09-08,E064,Quoted
NIC-RFQ0133,NIC-CUST0024,2026-03-16,Phone,Emily Anderson,2026-03-22,E067,Quoted
NIC-RFQ0134,NIC-CUST0001,2025-11-07,EDI 840,Lisa Thompson,2025-11-12,E066,Quoted
NIC-RFQ0135,NIC-CUST0026,2025-06-30,Phone,Michael Allen,2025-07-03,E073,Quoted
NIC-RFQ0136,NIC-CUST0006,2025-05-04,EDI 840,Carlos Moore,2025-05-07,E073,Quoted
NIC-RFQ0137,NIC-CUST0025,2025-10-25,Email,Matthew Jackson,2025-10-30,E065,Quoted
NIC-RFQ0138,NIC-CUST0007,2026-01-29,Email,Priya Nguyen,2026-02-01,E065,Quoted
NIC-RFQ0139,NIC-CUST0023,2025-10-12,Email,Maria Choi,2025-10-14,E075,Quoted
NIC-RFQ0140,NIC-CUST0023,2025-10-14,Phone,Maria Choi,2025-10-19,E066,Quoted
NIC-RFQ0141,NIC-CUST0031,2025-07-08,EDI 840,Wei Brown,2025-07-13,E075,Quoted
NIC-RFQ0142,NIC-CUST0034,2025-12-18,Portal,Kevin Lee,2025-12-26,E065,Quoted
NIC-RFQ0143,NIC-CUST0021,2025-05-27,Portal,Brian Schneider,2025-06-03,E065,Quoted
NIC-RFQ0144,NIC-CUST0020,2025-12-17,Email,Thomas Thompson,2025-12-24,E066,Quoted
NIC-RFQ0145,NIC-CUST0034,2026-03-04,Portal,Sandra Miller,2026-03-08,E067,Quoted
NIC-RFQ0146,NIC-CUST0015,2025-07-12,Phone,Grace Thompson,2025-07-18,E067,Quoted
NIC-RFQ0147,NIC-CUST0039,2026-02-01,Email,Michael Harris,2026-02-02,E074,Quoted
NIC-RFQ0148,NIC-CUST0039,2026-03-13,Email,Omar Martinez,2026-03-21,E068,Quoted
NIC-RFQ0149,NIC-CUST0019,2025-05-11,EDI 840,Betty Moore,2025-05-19,E073,Quoted
NIC-RFQ0150,NIC-CUST0001,2025-09-15,Email,Grace Robinson,2025-09-18,E075,Quoted
NIC-RFQ0151,NIC-CUST0033,2025-06-19,EDI 840,Sarah Patel,2025-06-25,E074,Quoted
NIC-RFQ0152,NIC-CUST0040,2025-07-26,Portal,Omar Martin,2025-07-30,E074,Quoted
NIC-RFQ0153,NIC-CUST0039,2026-02-09,EDI 840,Michael Harris,2026-02-15,E066,Quoted
NIC-RFQ0154,NIC-CUST0019,2025-07-31,EDI 840,Hiro Choi,2025-08-05,E064,Quoted
NIC-RFQ0155,NIC-CUST0026,2026-01-27,Phone,Karen Anderson,2026-02-02,E073,Quoted
NIC-RFQ0156,NIC-CUST0014,2025-08-18,EDI 840,Priya Nguyen,2025-08-25,E066,Quoted
NIC-RFQ0157,NIC-CUST0011,2025-06-22,Email,Paul Walker,2025-06-26,E074,Quoted
NIC-RFQ0158,NIC-CUST0022,2026-02-06,Email,Carlos Davis,2026-02-11,E065,Quoted
NIC-RFQ0159,NIC-CUST0008,2025-05-18,EDI 840,Donna Martin,2025-05-20,E066,Quoted
NIC-RFQ0160,NIC-CUST0021,2026-03-24,Portal,Brian Schneider,2026-03-30,E074,Quoted
NIC-RFQ0161,NIC-CUST0020,2025-05-08,Phone,Thomas Thompson,2025-05-15,E075,Quoted
NIC-RFQ0162,NIC-CUST0037,2025-07-23,Phone,Daniel Okafor,2025-07-27,E065,Quoted
NIC-RFQ0163,NIC-CUST0024,2025-04-26,Phone,Thomas Wilson,2025-04-29,E067,Quoted
NIC-RFQ0164,NIC-CUST0008,2025-05-09,Email,Donna Martin,2025-05-15,E075,Quoted
NIC-RFQ0165,NIC-CUST0021,2026-03-08,Email,Brian Schneider,2026-03-14,E066,Quoted
NIC-RFQ0166,NIC-CUST0022,2026-02-03,EDI 840,Michael Taylor,2026-02-11,E074,Quoted
NIC-RFQ0167,NIC-CUST0035,2025-03-30,Portal,Ashley Jackson,2025-04-06,E073,Quoted
NIC-RFQ0168,NIC-CUST0034,2026-02-27,Email,Kevin Lee,2026-03-03,E075,Quoted
NIC-RFQ0169,NIC-CUST0029,2025-09-07,Portal,Fatima Allen,2025-09-12,E074,Quoted
NIC-RFQ0170,NIC-CUST0040,2025-03-18,EDI 840,Omar Martin,2025-03-23,E065,Quoted
NIC-RFQ0171,NIC-CUST0024,2026-03-01,Phone,Sandra Rodriguez,2026-03-04,E075,Quoted
NIC-RFQ0172,NIC-CUST0019,2025-04-25,Email,Elizabeth Martin,2025-04-29,E075,Quoted
NIC-RFQ0173,NIC-CUST0017,2025-04-05,Phone,Jessica Harris,2025-04-10,E068,Quoted
NIC-RFQ0174,NIC-CUST0015,2025-09-18,EDI 840,Grace Thompson,2025-09-26,E073,Quoted
NIC-RFQ0175,NIC-CUST0003,2026-01-04,EDI 840,Lisa Harris,2026-01-07,E066,Quoted
NIC-RFQ0176,NIC-CUST0011,2025-10-18,Phone,Paul Walker,2025-10-24,E073,Quoted
NIC-RFQ0177,NIC-CUST0018,2026-02-04,Phone,Michael Thomas,2026-02-10,E074,Quoted
NIC-RFQ0178,NIC-CUST0021,2025-08-13,Phone,Brian Schneider,2025-08-18,E068,Quoted
NIC-RFQ0179,NIC-CUST0022,2025-12-27,Email,Carlos Davis,2026-01-02,E064,Quoted
NIC-RFQ0180,NIC-CUST0015,2026-03-11,Phone,Grace Thompson,2026-03-16,E074,Quoted
NIC-RFQ0181,NIC-CUST0009,2025-12-15,Phone,Steven Lopez,2025-12-22,E068,Quoted
NIC-RFQ0182,NIC-CUST0011,2025-06-07,EDI 840,Paul Walker,2025-06-13,E067,Quoted
NIC-RFQ0183,NIC-CUST0020,2025-10-02,EDI 840,Thomas Thompson,2025-10-09,E068,Quoted
NIC-RFQ0184,NIC-CUST0034,2026-03-01,Email,Sandra Miller,2026-03-05,E075,Quoted
NIC-RFQ0185,NIC-CUST0019,2026-01-09,Email,Betty Moore,2026-01-14,E074,Quoted
NIC-RFQ0186,NIC-CUST0040,2025-05-07,Email,Omar Martin,2025-05-10,E074,Quoted
NIC-RFQ0187,NIC-CUST0001,2026-01-03,EDI 840,Grace Robinson,2026-01-08,E068,Quoted
NIC-RFQ0188,NIC-CUST0033,2025-07-05,Phone,Sarah Patel,2025-07-10,E067,Quoted
NIC-RFQ0189,NIC-CUST0022,2025-11-10,Email,Carlos Davis,2025-11-13,E074,Quoted
NIC-RFQ0190,NIC-CUST0035,2025-09-06,EDI 840,Ashley Jackson,2025-09-11,E073,Quoted
NIC-RFQ0191,NIC-CUST0035,2025-12-18,Phone,Andrew Clark,2025-12-24,E074,Quoted
NIC-RFQ0192,NIC-CUST0033,2026-03-10,Portal,Sarah Patel,2026-03-15,E064,Quoted
NIC-RFQ0193,NIC-CUST0008,2025-04-17,Portal,Donna Martin,2025-04-20,E073,Quoted
NIC-RFQ0194,NIC-CUST0009,2025-10-24,Email,Steven Lopez,2025-10-29,E073,Quoted
NIC-RFQ0195,NIC-CUST0015,2026-02-16,Phone,Grace Thompson,2026-02-18,E064,Quoted
NIC-RFQ0196,NIC-CUST0031,2025-05-08,EDI 840,Joseph White,2025-05-13,E064,Quoted
NIC-RFQ0197,NIC-CUST0017,2025-07-19,Email,Lisa Rodriguez,2025-07-26,E066,Quoted
