ack_id,so_number,sent_date,sent_to,method,acknowledged_total
ACK-SO-26102,SO-26102,2025-06-13,slopez@great-automotive.com,Email PDF,13741.82
ACK-SO-26103,SO-26103,2025-04-16,jmiller@riverbend-conveyor.com,Email PDF,1070.66
ACK-SO-26104,SO-26104,2025-04-08,wobrien@cardinal-conveyor.com,EDI 855,19632.93
ACK-SO-26105,SO-26105,2025-04-18,ethompson@fox-lumber.com,Email PDF,18611.28
ACK-SO-26106,SO-26106,2026-01-07,epatel@rock-plastics.com,EDI 855,3440.7
ACK-SO-26107,SO-26107,2025-11-17,smartinez@rock-plastics.com,EDI 855,17044.52
ACK-SO-26108,SO-26108,2025-07-30,panderson@fox-lumber.com,Email PDF,1231.46
ACK-SO-26109,SO-26109,2025-09-09,mtaylor@lehigh-paper.com,Email PDF,10414.69
ACK-SO-26110,SO-26110,2026-02-11,dthompson@tricounty-chemical.com,EDI 855,226.29
ACK-SO-26111,SO-26111,2025-04-05,omartin@allegheny-paper.com,EDI 855,18977.24
ACK-SO-26112,SO-26112,2026-01-13,lsmith@cardinal-poultry.com,Email PDF,32953.28
ACK-SO-26113,SO-26113,2025-06-12,pnguyen@prairie-climate.com,Email PDF,7034.43
ACK-SO-26114,SO-26114,2025-12-20,pnguyen@prairie-climate.com,Email PDF,5392.05
ACK-SO-26115,SO-26115,2025-07-11,lpatel@allegheny-paper.com,Email PDF,26800.4
ACK-SO-26116,SO-26116,2025-05-21,fyoung@allegheny-climate.com,Email PDF,3536.1
ACK-SO-26117,SO-26117,2025-10-06,aclark@keystone-chemical.com,Email PDF,2197.16
ACK-SO-26118,SO-26118,2025-08-20,mjackson@rock-plastics.com,EDI 855,9992.12
ACK-SO-26119,SO-26119,2026-03-20,lharris@cardinal-conveyor.com,Email PDF,8062.3
ACK-SO-26120,SO-26120,2026-03-07,omartin@allegheny-paper.com,Email PDF,2850.9
ACK-SO-26121,SO-26121,2025-08-22,pnguyen@allegheny-foods.com,Email PDF,739.95
ACK-SO-26122,SO-26122,2025-10-24,bwilson@iron-conveyor.com,Email PDF,4739.01
ACK-SO-26123,SO-26123,2025-09-15,cmoore@prairie-poultry.com,Email PDF,3551.78
ACK-SO-26124,SO-26124,2025-11-11,omartin@allegheny-paper.com,Email PDF,1081.29
ACK-SO-26125,SO-26125,2025-07-06,pnguyen@allegheny-foods.com,Email PDF,3650.98
ACK-SO-26126,SO-26126,2026-01-12,syoung@blue-lumber.com,EDI 855,38337.01
ACK-SO-26127,SO-26127,2026-01-17,pwalker@cumberland-materials.com,Email PDF,1225.44
ACK-SO-26128,SO-26128,2026-01-16,twright@allegheny-foods.com,EDI 855,13823.12
ACK-SO-26129,SO-26129,2025-12-30,mharris@rock-steel.com,Email PDF,14840.67
ACK-SO-26130,SO-26130,2025-12-07,grobinson@iron-chemical.com,EDI 855,280.54
ACK-SO-26131,SO-26131,2025-07-24,lharris@cardinal-conveyor.com,Email PDF,23542.27
ACK-SO-26132,SO-26132,2025-10-28,ajackson@keystone-chemical.com,Email PDF,13842.45
ACK-SO-26133,SO-26133,2025-10-28,pwilliams@iron-chemical.com,EDI 855,7001.75
ACK-SO-26134,SO-26134,2025-07-04,dthomas@blue-lumber.com,Email PDF,13948.89
ACK-SO-26135,SO-26135,2025-06-26,fallen@great-lumber.com,Email PDF,2917.22
ACK-SO-26136,SO-26136,2026-03-17,lking@rock-waterauthority.com,EDI 855,6454.02
ACK-SO-26137,SO-26137,2025-07-10,jmiller@riverbend-conveyor.com,Email PDF,11304.97
ACK-SO-26138,SO-26138,2025-04-02,mtaylor@lehigh-paper.com,Email PDF,2780.01
ACK-SO-26139,SO-26139,2025-12-26,mallen@fox-paper.com,Email PDF,2656.68
ACK-SO-26140,SO-26140,2025-09-28,spatel@midwest-agequipment.com,EDI 855,20126.34
ACK-SO-26141,SO-26141,2025-06-12,dmartin@riverbend-conveyor.com,EDI 855,7809.12
ACK-SO-26142,SO-26142,2025-07-30,jmiller@riverbend-conveyor.com,Email PDF,23963.43
ACK-SO-26143,SO-26143,2025-05-11,ethompson@fox-lumber.com,EDI 855,3404.27
ACK-SO-26144,SO-26144,2025-08-01,mchoi@blue-lumber.com,EDI 855,588.91
ACK-SO-26145,SO-26145,2025-12-19,jwhite@rock-steel.com,EDI 855,11396.68
ACK-SO-26146,SO-26146,2025-09-05,sdelgado@rock-waterauthority.com,Email PDF,7992.94
ACK-SO-26147,SO-26147,2025-09-01,lharris@cardinal-conveyor.com,Email PDF,17297.24
ACK-SO-26148,SO-26148,2026-01-13,twright@allegheny-foods.com,Email PDF,2750.2
ACK-SO-26149,SO-26149,2025-05-03,fallen@great-lumber.com,EDI 855,2979.97
ACK-SO-26150,SO-26150,2025-07-13,eanderson@riverbend-poultry.com,Email PDF,8441.87
ACK-SO-26151,SO-26151,2026-03-12,jmiller@riverbend-conveyor.com,Email PDF,566.58
ACK-SO-26152,SO-26152,2025-07-25,cdavis@lehigh-paper.com,Email PDF,11407.85
ACK-SO-26153,SO-26153,2025-11-29,jharris@prairie-materials.com,Email PDF,8910.7
ACK-SO-26154,SO-26154,2025-10-06,hchoi@susquehanna-waterauthority.com,Email PDF,5684.14
ACK-SO-26155,SO-26155,2026-03-13,epatel@rock-plastics.com,Email PDF,7374.74
ACK-SO-26156,SO-26156,2025-04-12,bnguyen@appalachian-lumber.com,Email PDF,7192.51
ACK-SO-26157,SO-26157,2026-04-01,twright@allegheny-foods.com,EDI 855,238.54
ACK-SO-26158,SO-26158,2025-05-25,lking@rock-waterauthority.com,Email PDF,26941.43
ACK-SO-26159,SO-26159,2025-10-09,lthompson@iron-chemical.com,Email PDF,18910.31
ACK-SO-26160,SO-26160,2025-11-10,lsmith@cardinal-poultry.com,EDI 855,8771.44
ACK-SO-26161,SO-26161,2025-11-27,ajackson@keystone-chemical.com,Email PDF,2456.99
ACK-SO-26162,SO-26162,2025-10-17,gmartin@cardinal-lumber.com,Email PDF,31590.94
ACK-SO-26163,SO-26163,2026-01-16,mrobinson@summit-foods.com,Email PDF,23068.12
ACK-SO-26164,SO-26164,2026-03-06,epatel@rock-plastics.com,Email PDF,1446.24
ACK-SO-26165,SO-26165,2025-06-29,spatel@midwest-agequipment.com,EDI 855,12231.47
ACK-SO-26166,SO-26166,2026-03-05,bwilson@iron-conveyor.com,Email PDF,9049.98
ACK-SO-26167,SO-26167,2025-11-28,fallen@great-lumber.com,EDI 855,22937.56
ACK-SO-26168,SO-26168,2025-07-03,pnguyen@rock-steel.com,Email PDF,14729.69
ACK-SO-26169,SO-26169,2025-05-31,emartin@susquehanna-waterauthority.com,Email PDF,7315.09
ACK-SO-26170,SO-26170,2026-01-13,omartin@allegheny-paper.com,Email PDF,7738.05
ACK-SO-26171,SO-26171,2025-08-12,gthompson@iron-conveyor.com,Email PDF,8691.45
ACK-SO-26172,SO-26172,2026-03-03,mmoore@rock-plastics.com,EDI 855,21677.76
ACK-SO-26173,SO-26173,2025-09-10,wobrien@cardinal-conveyor.com,Email PDF,13765.35
ACK-SO-26174,SO-26174,2025-04-02,jwhite@midwest-climate.com,EDI 855,737.34
ACK-SO-26175,SO-26175,2025-08-06,lthompson@iron-chemical.com,Email PDF,5875.21
ACK-SO-26176,SO-26176,2026-02-21,smiller@cardinal-poultry.com,Email PDF,7763.23
ACK-SO-26177,SO-26177,2025-08-28,lrodriguez@prairie-materials.com,EDI 855,25433.44
ACK-SO-26178,SO-26178,2026-02-05,lpatel@allegheny-paper.com,Email PDF,9736.72
ACK-SO-26179,SO-26179,2025-10-19,dthompson@tricounty-chemical.com,EDI 855,11879.38
ACK-SO-26180,SO-26180,2025-07-02,aking@pioneer-lumber.com,Email PDF,28137.77
ACK-SO-26181,SO-26181,2025-09-03,jwhite@rock-steel.com,Email PDF,4202.05
ACK-SO-26182,SO-26182,2025-04-09,lsmith@cardinal-poultry.com,Email PDF,10456.28
ACK-SO-26183,SO-26183,2026-01-05,wobrien@cardinal-conveyor.com,Email PDF,363.17
ACK-SO-26184,SO-26184,2025-09-26,slopez@great-automotive.com,Email PDF,20428.64
ACK-SO-26185,SO-26185,2025-04-29,lharris@cardinal-conveyor.com,Email PDF,5522.4
ACK-SO-26186,SO-26186,2025-07-05,mallen@fox-paper.com,EDI 855,3191.67
ACK-SO-26187,SO-26187,2026-01-21,mtaylor@lehigh-paper.com,Email PDF,20104.11
ACK-SO-26188,SO-26188,2025-12-04,aking@pioneer-lumber.com,Email PDF,8434.17
ACK-SO-26189,SO-26189,2026-03-05,dthompson@tricounty-chemical.com,EDI 855,1526.86
ACK-SO-26190,SO-26190,2025-04-07,dmartin@riverbend-conveyor.com,Email PDF,14728.12
ACK-SO-26191,SO-26191,2025-12-05,mrobinson@summit-foods.com,EDI 855,398.6
ACK-SO-26192,SO-26192,2025-12-05,bwilson@iron-conveyor.com,Email PDF,1288.6
ACK-SO-26193,SO-26193,2026-03-05,kanderson@fox-paper.com,Email PDF,26064.6
ACK-SO-26194,SO-26194,2025-09-29,lrodriguez@prairie-materials.com,Email PDF,4366.71
ACK-SO-26195,SO-26195,2025-12-14,dokafor@allegheny-climate.com,Email PDF,1479.56
ACK-SO-26196,SO-26196,2025-10-19,jwhite@rock-steel.com,Email PDF,14497.49
ACK-SO-26197,SO-26197,2025-11-20,lrodriguez@prairie-materials.com,Email PDF,19626.02
ACK-SO-26198,SO-26198,2025-11-20,aking@pioneer-lumber.com,EDI 855,10687.85
ACK-SO-26199,SO-26199,2025-06-02,srodriguez@tricounty-poultry.com,EDI 855,207.29
ACK-SO-26200,SO-26200,2025-09-08,panderson@fox-lumber.com,EDI 855,11416.22
ACK-SO-26201,SO-26201,2025-07-24,bmoore@susquehanna-waterauthority.com,EDI 855,6590.07
ACK-SO-26202,SO-26202,2025-04-25,omartin@allegheny-paper.com,Email PDF,9524.69
ACK-SO-26203,SO-26203,2025-08-01,pnguyen@prairie-climate.com,EDI 855,2731.6
ACK-SO-26204,SO-26204,2026-02-09,tthompson@blue-poultry.com,Email PDF,15462.36
ACK-SO-26205,SO-26205,2025-08-03,epatel@rock-plastics.com,EDI 855,1542.04
ACK-SO-26206,SO-26206,2025-11-19,pnguyen@prairie-climate.com,Email PDF,2905.72
ACK-SO-26207,SO-26207,2025-06-23,pnguyen@prairie-climate.com,Email PDF,3867.57
ACK-SO-26208,SO-26208,2025-06-03,fallen@great-lumber.com,Email PDF,3161.4
ACK-SO-26209,SO-26209,2025-07-11,mharris@rock-steel.com,Email PDF,530.02
ACK-SO-26210,SO-26210,2025-10-16,cmoore@prairie-poultry.com,EDI 855,417.11
ACK-SO-26211,SO-26211,2026-01-04,kanderson@fox-paper.com,Email PDF,14010.93
ACK-SO-26212,SO-26212,2025-12-08,dthompson@tricounty-chemical.com,Email PDF,15823.14
ACK-SO-26213,SO-26213,2025-05-25,dokafor@allegheny-climate.com,Email PDF,28324.58
ACK-SO-26214,SO-26214,2025-10-31,fyoung@allegheny-climate.com,Email PDF,3104.91
ACK-SO-26215,SO-26215,2025-08-18,mchoi@blue-lumber.com,EDI 855,3387.29
ACK-SO-26216,SO-26216,2025-12-23,jwright@rock-plastics.com,Email PDF,3087.85
ACK-SO-26217,SO-26217,2025-10-05,skowalski@midwest-climate.com,Email PDF,17406.81
ACK-SO-26218,SO-26218,2026-02-23,lpatel@allegheny-paper.com,Email PDF,4230.81
ACK-SO-26219,SO-26219,2026-02-11,ajackson@keystone-chemical.com,Email PDF,10946.66
ACK-SO-26220,SO-26220,2025-07-01,sdelgado@appalachian-lumber.com,Email PDF,6681.65
ACK-SO-26221,SO-26221,2026-01-02,smiller@cardinal-poultry.com,EDI 855,3116.46
ACK-SO-26222,SO-26222,2025-11-21,twright@allegheny-foods.com,EDI 855,8551.65
ACK-SO-26223,SO-26223,2025-05-12,lpatel@allegheny-paper.com,EDI 855,16133.75
ACK-SO-26224,SO-26224,2025-06-08,dthompson@tricounty-chemical.com,EDI 855,27941.18
ACK-SO-26225,SO-26225,2025-12-09,pnguyen@allegheny-foods.com,Email PDF,10212.53
ACK-SO-26226,SO-26226,2025-07-16,spatel@midwest-agequipment.com,EDI 855,975.13
ACK-SO-26227,SO-26227,2025-09-09,epatel@rock-plastics.com,EDI 855,4147.86
ACK-SO-26228,SO-26228,2025-10-06,aking@pioneer-lumber.com,Email PDF,17148.31
ACK-SO-26229,SO-26229,2025-11-11,twilson@tricounty-poultry.com,Email PDF,11134.56
ACK-SO-26230,SO-26230,2025-10-07,pnguyen@prairie-climate.com,Email PDF,5119.23
ACK-SO-26231,SO-26231,2025-12-04,skowalski@midwest-climate.com,Email PDF,7281.3
ACK-SO-26232,SO-26232,2025-12-12,emartin@susquehanna-waterauthority.com,EDI 855,9057.3
ACK-SO-26233,SO-26233,2025-06-16,dthompson@tricounty-chemical.com,Email PDF,20133.86
ACK-SO-26234,SO-26234,2026-03-19,lharris@cardinal-conveyor.com,Email PDF,10373.58
ACK-SO-26235,SO-26235,2025-11-18,hchoi@susquehanna-waterauthority.com,EDI 855,193.34
ACK-SO-26236,SO-26236,2025-11-23,eking@summit-conveyor.com,Email PDF,8394.98
ACK-SO-26237,SO-26237,2025-08-02,bjones@riverbend-poultry.com,EDI 855,12170.59
ACK-SO-26238,SO-26238,2025-11-09,cmoore@prairie-poultry.com,Email PDF,6273.62
ACK-SO-26239,SO-26239,2025-09-01,pwilliams@iron-chemical.com,Email PDF,10407.6
ACK-SO-26240,SO-26240,2025-10-15,lharris@cardinal-conveyor.com,EDI 855,5918.42
ACK-SO-26241,SO-26241,2025-06-16,lsmith@cardinal-poultry.com,Email PDF,2039.68
ACK-SO-26242,SO-26242,2025-06-09,gthompson@iron-conveyor.com,EDI 855,20481.73
ACK-SO-26243,SO-26243,2025-11-11,twright@allegheny-foods.com,EDI 855,3350.13
ACK-SO-26244,SO-26244,2026-01-12,aclark@keystone-chemical.com,Email PDF,5929.63
ACK-SO-26245,SO-26245,2025-08-07,cmoore@prairie-poultry.com,Email PDF,14389.68
ACK-SO-26246,SO-26246,2025-08-31,gthompson@iron-conveyor.com,EDI 855,1089.51
ACK-SO-26247,SO-26247,2025-05-19,jmoore@appalachian-lumber.com,Email PDF,15068.84
ACK-SO-26248,SO-26248,2025-12-24,panderson@fox-lumber.com,EDI 855,6047.0
ACK-SO-26249,SO-26249,2025-08-25,ethompson@fox-lumber.com,Email PDF,10292.08
ACK-SO-26250,SO-26250,2025-04-22,eanderson@riverbend-poultry.com,Email PDF,7006.28
ACK-SO-26251,SO-26251,2025-04-30,lrodriguez@prairie-materials.com,Email PDF,14109.19
ACK-SO-26252,SO-26252,2025-07-27,aking@pioneer-lumber.com,Email PDF,3969.77
ACK-SO-26253,SO-26253,2025-12-05,jwright@rock-plastics.com,EDI 855,7003.84
ACK-SO-26254,SO-26254,2025-04-03,fallen@great-lumber.com,Email PDF,12503.75
ACK-SO-26255,SO-26255,2025-04-22,dmartin@riverbend-conveyor.com,Email PDF,15215.3
ACK-SO-26256,SO-26256,2025-11-06,ddelgado@prairie-poultry.com,Email PDF,6420.42
ACK-SO-26257,SO-26257,2025-09-21,spatel@midwest-agequipment.com,Email PDF,8441.63
ACK-SO-26258,SO-26258,2026-01-25,pnguyen@prairie-climate.com,EDI 855,24658.87
ACK-SO-26259,SO-26259,2025-08-25,pnguyen@prairie-climate.com,Email PDF,1784.51
ACK-SO-26260,SO-26260,2025-10-08,ddelgado@prairie-poultry.com,EDI 855,3097.45
ACK-SO-26261,SO-26261,2025-05-09,pwalker@cumberland-materials.com,Email PDF,9530.48
ACK-SO-26262,SO-26262,2025-11-22,mtaylor@lehigh-paper.com,EDI 855,24403.18
ACK-SO-26263,SO-26263,2025-05-20,cdavis@lehigh-paper.com,Email PDF,225.34
ACK-SO-26264,SO-26264,2025-12-24,mharris@summit-conveyor.com,Email PDF,5240.64
ACK-SO-26265,SO-26265,2026-03-21,smiller@summit-foods.com,EDI 855,617.39
ACK-SO-26266,SO-26266,2025-11-20,eanderson@riverbend-poultry.com,Email PDF,5131.12
ACK-SO-26267,SO-26267,2025-11-22,omartin@allegheny-paper.com,EDI 855,7629.51
ACK-SO-26268,SO-26268,2026-01-04,mharris@rock-steel.com,Email PDF,14678.04
ACK-SO-26269,SO-26269,2025-09-07,jmoore@appalachian-lumber.com,EDI 855,632.99
ACK-SO-26270,SO-26270,2026-03-30,eanderson@tricounty-poultry.com,EDI 855,202.81
ACK-SO-26271,SO-26271,2025-04-03,mharris@rock-steel.com,Email PDF,6916.18
ACK-SO-26272,SO-26272,2025-11-24,grobinson@iron-chemical.com,Email PDF,13597.04
ACK-SO-26273,SO-26273,2025-12-19,kanderson@fox-paper.com,Email PDF,13267.13
ACK-SO-26274,SO-26274,2025-10-09,omartin@allegheny-paper.com,EDI 855,5819.75
ACK-SO-26275,SO-26275,2026-01-01,twright@allegheny-foods.com,Email PDF,12525.54
ACK-SO-26276,SO-26276,2025-07-21,mallen@fox-paper.com,Email PDF,28602.61
ACK-SO-26277,SO-26277,2025-05-11,ddelgado@prairie-poultry.com,Email PDF,6526.28
ACK-SO-26278,SO-26278,2025-10-28,smartinez@rock-plastics.com,Email PDF,15757.0
ACK-SO-26279,SO-26279,2026-02-19,twright@allegheny-foods.com,EDI 855,8474.76
ACK-SO-26280,SO-26280,2025-11-01,mchoi@blue-lumber.com,EDI 855,1571.45
ACK-SO-26281,SO-26281,2025-11-12,mjackson@rock-plastics.com,EDI 855,12514.44
ACK-SO-26282,SO-26282,2025-08-13,sdelgado@rock-waterauthority.com,EDI 855,3286.28
ACK-SO-26283,SO-26283,2026-01-13,jmiller@riverbend-conveyor.com,EDI 855,7356.49
ACK-SO-26284,SO-26284,2025-11-03,dthomas@blue-lumber.com,EDI 855,6924.25
ACK-SO-26285,SO-26285,2025-07-24,skowalski@midwest-climate.com,Email PDF,12505.52
ACK-SO-26286,SO-26286,2025-12-30,klee@cardinal-poultry.com,EDI 855,5177.5
ACK-SO-26287,SO-26287,2025-04-18,kanderson@fox-paper.com,EDI 855,10238.21
