Ack Id,So Number,Sent Date,Sent To,Method,Acknowledged Total
ACK-SO-26155,SO-26155,2025-07-18,krodriguez@riverbend-packagingsystems.com,EDI 855,6691.18
ACK-SO-26156,SO-26156,09/29/25,jclark@fox-climate.com,Email PDF,19568.9
ACK-SO-26157,SO-26157,2025-12-25,hwalker@keystone-steel.com,Email PDF,427.25
ACK-SO-26158,SO-26158,2025-07-14,jbrown@iron-plastics.com,EDI 855,17609.04
ACK-SO-26159,SO-26159,2025-06-25,fjackson@riverbend-plastics.com,Email PDF,23349.24
ACK-SO-26160,SO-26160,19-Dec-2025,jokafor@iron-materials.com,EDI 855,2952.36
ACK-SO-26161,SO-26161,"Nov 18, 2025",sthompson@iron-materials.com,Email PDF,10138.81
ACK-SO-26162,SO-26162,2025-10-11,krodriguez@riverbend-packagingsystems.com,EDI 855,229.17
ACK-SO-26163,SO-26163,2025-12-12,jlewis@riverbend-packagingsystems.com,EDI 855,4888.41
ACK-SO-26164,SO-26164,2025-06-04,jnakamura@cardinal-foods.com,Email PDF,12922.76
ACK-SO-26165,SO-26165,23-Jan-2026,schoi@appalachian-conveyor.com,Email PDF,10541.66
ACK-SO-26166,SO-26166,2026-03-08,rking@prairie-foods.com,EDI 855,58814.45
ACK-SO-26167 ,SO-26167,2026-02-25,amartinez@fox-paper.com,Email PDF,40434.09
ACK-SO-26168,SO-26168,2025-06-04,sthompson@iron-materials.com,EDI 855,2636.56
ACK-SO-26169,SO-26169,2025-10-27,elopez@summit-chemical.com,Email PDF,6742.64
ACK-SO-26170,SO-26170,2025-10-28,fjohnson@northstar-plastics.com,Email PDF,13113.85
ACK-SO-26171,SO-26171,04/21/2025,wgarcia@tennessee-plastics.com,Email PDF,37052.45
ACK-SO-26172,SO-26172,2025-11-25,aharris@iron-materials.com,Email PDF,7452.39
ACK-SO-26173,SO-26173,"Nov 10, 2025",jclark@fox-climate.com,EDI 855,31711.4
ACK-SO-26174,SO-26174,01/12/2026,awright@tennessee-lumber.com,EDI 855,870.72
ACK-SO-26175,SO-26175,2025-06-16,mmiller@allegheny-paper.com,Email PDF,26933.41
ACK-SO-26176,SO-26176,15-Mar-2026 ,wwhite@great-climate.com,Email PDF,17377.22
ACK-SO-26177,SO-26177,2025-12-02,pwright@hickory-lumber.com,Email PDF,15009.83
ACK-SO-26178,SO-26178,2025-04-04,rclark@piedmont-agequipment.com,Email PDF,7834.0
ACK-SO-26179,SO-26179,2025-11-18,aschneider@piedmont-agequipment.com,EDI 855,44783.36
ACK-SO-26180,SO-26180,2026-01-05,fokafor@fox-paper.com,Email PDF,32660.61
ACK-SO-26181,SO-26181,2025-12-08,nobrien@keystone-plastics.com,EDI 855,55392.12
ACK-SO-26182,SO-26182,2025-11-08,mschneider@tennessee-plastics.com,Email PDF,4056.67
ACK-SO-26183,SO-26183,2025-06-11,ewhite@appalachian-packagingsystems.com,Email PDF,5831.5
ACK-SO-26184,SO-26184,2025-09-21,awilliams@tricounty-materials.com,Email PDF,202.59
ACK-SO-26185,SO-26185,2025-09-24,wwhite@great-climate.com,Email PDF,23782.78
ACK-SO-26186,SO-26186,2025-06-13,amartinez@fox-paper.com,Email PDF,2767.7
ACK-SO-26187,SO-26187,2025-05-06,clewis@hickory-steel.com,Email PDF,8811.58
ACK-SO-26188,SO-26188,2026-03-02,prodriguez@appalachian-conveyor.com,EDI 855,310.44
ACK-SO-26189,SO-26189,02/06/2026,fjohnson@northstar-plastics.com,EDI 855,8908.78
ACK-SO-26190,SO-26190,2025-05-03,frobinson@tennessee-lumber.com,Email PDF ,5363.69
ACK-SO-26191,SO-26191,2025-10-18,syoung@riverbend-plastics.com,EDI 855,24025.75
ACK-SO-26192,SO-26192,2025-04-04,pharris@susquehanna-packagingsystems.com,EDI 855 ,26967.65
ACK-SO-26193,SO-26193,2025-04-30,mmiller@allegheny-paper.com,Email PDF,211.8
ACK-SO-26194,SO-26194,2026-02-12,wwhite@great-climate.com,Email PDF,1452.67
ACK-SO-26195,SO-26195,2025-12-21,clewis@hickory-steel.com,Email PDF,33226.1
ACK-SO-26196,SO-26196,2025-09-15 ,clewis@hickory-steel.com,Email PDF,148.86
ACK-SO-26197,SO-26197,2026-01-29,pclark@cardinal-foods.com,Email PDF,274.97
ACK-SO-26198,SO-26198,2025-11-23,wmartinez@piedmont-poultry.com,Email PDF,15489.98
ACK-SO-26199,SO-26199,2025-10-04,wwhite@great-climate.com,Email PDF,17721.45
ACK-SO-26200,SO-26200,2026-01-31,eking@iron-plastics.com,Email PDF,542.06
ACK-SO-26201,SO-26201,2025-09-07,oschneider@cardinal-plastics.com,Email PDF,2026.87
ACK-SO-26202,SO-26202,2025-04-26,wmartinez@piedmont-poultry.com,Email PDF,1954.41
ACK-SO-26203,SO-26203,2025-07-29,eobrien@hickory-waterauthority.com,EDI 855,3383.04
ACK-SO-26204,SO-26204,2026-03-30,mmiller@allegheny-paper.com,EDI 855,21451.82
ACK-SO-26205,SO-26205,2026-03-14,mdelgado@lehigh-agequipment.com,Email PDF,27171.45
ACK-SO-26206,SO-26206,2025-09-22,pwright@hickory-lumber.com,Email PDF,1506.9
ACK-SO-26207,SO-26207,2025-06-04,ewhite@appalachian-packagingsystems.com,Email PDF,42121.19
ACK-SO-26208,SO-26208,01/05/26,rmartin@cardinal-poultry.com,Email PDF,4065.99
ACK-SO-26209,SO-26209,2025-08-07,awilliams@tricounty-materials.com,Email PDF,58349.96
ACK-SO-26210,SO-26210,2025-05-02,rjones@tricounty-conveyor.com,Email PDF,9081.25
ACK-SO-26211,SO-26211,2025-11-01,pharris@susquehanna-packagingsystems.com,Email PDF,25266.77
ACK-SO-26212,SO-26212,2025-04-26,rsmith@fox-paper.com,EDI 855,9475.32
ACK-SO-26213,SO-26213,2025-06-18,srodriguez@northstar-plastics.com,Email PDF,16243.26
ACK-SO-26214,SO-26214,2025-05-26,aclark@prairie-foods.com,Email PDF,2614.59
ACK-SO-26215,SO-26215,2025-11-01,jbrown@iron-plastics.com,Email PDF,19138.08
ACK-SO-26216 ,SO-26216,2025-06-12,jbrown@iron-plastics.com,Email PDF,46657.11
ACK-SO-26217,SO-26217,2025-12-15,mdelgado@lehigh-agequipment.com,EDI 855,17033.77
ACK-SO-26218,SO-26218,2026-02-02,awright@tennessee-lumber.com,EDI 855,14677.61
ACK-SO-26219,SO-26219,2025-10-15,pharris@susquehanna-packagingsystems.com,Email PDF,2237.0
ACK-SO-26220,SO-26220,2026-02-28,aclark@prairie-foods.com,Email PDF,1266.72
ACK-SO-26221,SO-26221,2026-02-17,eobrien@hickory-waterauthority.com,Email PDF,14411.7
ACK-SO-26222,SO-26222,2025-12-12,fjackson@riverbend-plastics.com,Email PDF,2297.75
ACK-SO-26223,SO-26223,2026-04-01,oschneider@cardinal-plastics.com,Email PDF,1593.21
ACK-SO-26224,SO-26224,2025-12-10,pharris@susquehanna-packagingsystems.com,Email PDF,775.44
ACK-SO-26225,SO-26225,2026-01-23,nobrien@keystone-plastics.com,Email PDF,12875.2
ACK-SO-26226,SO-26226,2025-07-21,prodriguez@appalachian-conveyor.com,Email PDF,13750.66
ACK-SO-26227,SO-26227,2026-03-02,elopez@summit-chemical.com,EDI 855,19726.01
ACK-SO-26228,SO-26228 ,2026-03-09,elopez@summit-chemical.com,Email PDF,1074.48
ACK-SO-26229,SO-26229,2026-03-30,hmartin@appalachian-packagingsystems.com,Email PDF,7254.37
ACK-SO-26230 ,SO-26230,2025-11-09,elopez@summit-chemical.com,Email PDF,3274.05
ACK-SO-26231,SO-26231,2025-04-05,prodriguez@appalachian-conveyor.com,Email PDF,16287.18
ACK-SO-26232,SO-26232,2026-03-17,aharris@iron-materials.com,EDI 855,13478.06
ACK-SO-26233,SO-26233,2026-02-11,wmartinez@piedmont-poultry.com,Email PDF,15118.48
ACK-SO-26234,SO-26234,27-Nov-2025,wgarcia@tennessee-plastics.com,Email PDF,29132.0
ACK-SO-26235,SO-26235,2025-07-22,rjones@tricounty-conveyor.com,EDI 855,7345.59
ACK-SO-26236,SO-26236,2025-04-21,fdelgado@pioneer-plastics.com,EDI 855,7676.68
ACK-SO-26237,SO-26237,2025-04-20,pharris@susquehanna-packagingsystems.com,Email PDF,146.77
ACK-SO-26238,SO-26238,2025-12-29,oschneider@cardinal-plastics.com,Email PDF,20272.95
ACK-SO-26239,SO-26239,2025-05-22,awilliams@tricounty-materials.com,Email PDF,2058.0
ACK-SO-26240,SO-26240,2026-01-08,cnakamura@piedmont-agequipment.com,Email PDF,28508.83
ACK-SO-26241,SO-26241,2025-07-28,rmartin@cardinal-poultry.com,EDI 855,54532.64
ACK-SO-26242,SO-26242,"Dec 08, 2025",mmiller@allegheny-paper.com,Email PDF,1605.91
ACK-SO-26243,SO-26243,2025-12-13,aschneider@piedmont-agequipment.com,Email PDF,13674.1
ACK-SO-26244,SO-26244,2025-12-17,oschneider@cardinal-plastics.com,Email PDF ,16097.76
ACK-SO-26245,SO-26245,16-Oct-2025,wmartinez@piedmont-poultry.com,Email PDF,721.14
ACK-SO-26246,SO-26246,2025-08-18,nobrien@keystone-plastics.com,EDI 855,2054.0
ACK-SO-26247,SO-26247,2025-07-12,clewis@hickory-steel.com,EDI 855,5428.33
ACK-SO-26248,SO-26248,15-May-2025,wmartinez@piedmont-poultry.com,EDI 855,301.08
ACK-SO-26249,SO-26249,21-Jan-2026,lwright@hickory-lumber.com,EDI 855,537.2
ACK-SO-26250,SO-26250,2025-12-29,wwhite@great-climate.com,Email PDF,4986.4
ACK-SO-26251,SO-26251,2026-02-12,syoung@riverbend-plastics.com,EDI 855,8616.99
ACK-SO-26252,SO-26252,2025-09-05,phernandez@pioneer-plastics.com,Email PDF,7802.7
ACK-SO-26253,SO-26253,2025-04-16,wwhite@great-climate.com,Email PDF,18010.9
ACK-SO-26254,SO-26254,2025-06-04,nobrien@keystone-plastics.com,EDI 855,37854.82
ACK-SO-26255,SO-26255,2026-03-22,phernandez@pioneer-plastics.com,Email PDF ,2167.29
ACK-SO-26256,SO-26256,2025-10-08,aallen@lehigh-agequipment.com,EDI 855,11849.5
ACK-SO-26257,SO-26257,2025-11-07,nobrien@keystone-plastics.com,EDI 855,12021.9
ACK-SO-26258,SO-26258,2025-09-15,cnakamura@piedmont-agequipment.com,EDI 855,25178.32
ACK-SO-26259,SO-26259,06-Aug-2025,elopez@summit-chemical.com,EDI 855,12987.09
ACK-SO-26260,SO-26260,2025-05-11,mmiller@allegheny-paper.com,Email PDF,17729.28
ACK-SO-26261,SO-26261,2025-12-16,prodriguez@appalachian-conveyor.com,EDI 855,43959.96
ACK-SO-26262,SO-26262,2025-10-26,pharris@susquehanna-packagingsystems.com,Email PDF,9102.66
ACK-SO-26263,SO-26263,21-Mar-2026,wwhite@great-climate.com,Email PDF,4408.88
ACK-SO-26264,SO-26264,12/20/25,fokafor@fox-paper.com,Email PDF,7763.0
ACK-SO-26265,SO-26265,2025-11-16,rmartin@cardinal-poultry.com,Email PDF,28147.29
ACK-SO-26266,SO-26266,2025-11-07,mschneider@tennessee-plastics.com,Email PDF,23147.11
ACK-SO-26267,SO-26267,2025-09-25,aclark@prairie-foods.com,EDI 855,18815.18
ACK-SO-26268,SO-26268,2025-09-27,wmartinez@piedmont-poultry.com,Email PDF,38150.26
ACK-SO-26269,SO-26269,2025-06-30,amartinez@fox-paper.com,Email PDF,205.25
ACK-SO-26270,SO-26270,2026-02-07,aallen@lehigh-agequipment.com,EDI 855,4417.06
ACK-SO-26271,SO-26271,2025-04-08,rjones@tricounty-conveyor.com,Email PDF,16233.75
ACK-SO-26272,SO-26272,2025-07-23,fwalker@riverbend-plastics.com,EDI 855,1013.25
ACK-SO-26273,SO-26273,2026-03-02,pharris@susquehanna-packagingsystems.com,Email PDF,7353.13
ACK-SO-26274,SO-26274,04/30/25,prodriguez@appalachian-conveyor.com,Email PDF,6261.67
ACK-SO-26275,SO-26275,2025-10-05,aclark@prairie-foods.com,Email PDF,33169.41
ACK-SO-26276,SO-26276,"Oct 01, 2025",ewhite@appalachian-packagingsystems.com,EDI 855,22895.34
ACK-SO-26277,SO-26277 ,2025-05-24,wwhite@great-climate.com,Email PDF,26692.42
ACK-SO-26278,SO-26278,2025-08-04,lwright@hickory-lumber.com,Email PDF,52312.3
ACK-SO-26279,SO-26279,2025-12-17,fjohnson@northstar-plastics.com,Email PDF,4719.02
ACK-SO-26280,SO-26280,2026-01-06,jclark@fox-climate.com,Email PDF,1566.26
ACK-SO-26281,SO-26281,2025-12-06,syoung@riverbend-plastics.com,Email PDF,39742.88
ACK-SO-26282,SO-26282,26-Jun-2025,hmartin@appalachian-packagingsystems.com,EDI 855,12982.81
