Rfq Id,Customer Id,Received Date,Channel,Requested By,Due Date,Assigned To,Status
KBD-RFQ0021,KBD-CUST0018,2025-11-13,EDI 840 ,Omar Schneider,2025-11-17,E015,Quoted
KBD-RFQ0022,KBD-CUST0018,2025-07-22,Email,Omar Schneider,2025-07-28,E014 ,Quoted
KBD-RFQ0023,KBD-CUST0006,2025-11-02,Phone,Robert King,2025-11-09,E018,Quoted
KBD-RFQ0024,KBD-CUST0015,2025-06-19,EDI 840,Paul Wright,2025-06-26,E013,Quoted
KBD-RFQ0025,KBD-CUST0020,2025-09-26,Phone,Fatima Johnson ,2025-10-01,E018,Quoted
KBD-RFQ0026,KBD-CUST0007,2025-11-30,Email,Richard Martin,2025-12-05,E016,Quoted
KBD-RFQ0027,KBD-CUST0028 ,2025-10-17,Email,Wei Martinez,2025-10-19,E015,Quoted
KBD-RFQ0028,KBD-CUST0016,2026-03-22,EDI 840,Anthony Allen,2026-03-28,E014,Quoted
KBD-RFQ0029,KBD-CUST0025,2025-11-30,Portal,William White,2025-12-06,E015,Quoted
KBD-RFQ0030,KBD-CUST0014,2025-09-01,EDI 840,Richard Smith,"Sep 05, 2025",E024,Quoted
KBD-RFQ0031,KBD-CUST0017,2025-10-01,EDI 840,Nancy Moore,10/06/2025,E017,Quoted
KBD-RFQ0032,KBD-CUST0012,2025-09-22,Portal,Jessica Lewis,2025-09-26,E016,Quoted
KBD-RFQ0033,KBD-CUST0005,05/24/2025,Email,Jessica Nakamura,2025-05-29,E018,Quoted
KBD-RFQ0034,KBD-CUST0030,2025-11-01,EDI 840,Joseph Clark,2025-11-05,E025,Quoted
KBD-RFQ0035,KBD-CUST0021,2026-01-04,EDI 840,Andrew Wright,2026-01-08,E025,Quoted
KBD-RFQ0036,KBD-CUST0014,2025-12-15,Email,Richard Smith,2025-12-18,E013,Quoted
KBD-RFQ0037,KBD-CUST0024,10/31/2025,Portal,Michael Schneider,03-Nov-2025,E025,Quoted 
KBD-RFQ0038,KBD-CUST0027,2025-05-29,Email,Elizabeth White,2025-06-02 ,E024,Quoted
KBD-RFQ0039,KBD-CUST0020,2026-01-30,EDI 840,Fatima Johnson ,2026-02-03,E013,Quoted
KBD-RFQ0040,KBD-CUST0021,2025-04-19,Email,Andrew Wright,2025-04-23,E016,Quoted
KBD-RFQ0041,KBD-CUST0010,2025-04-23,Phone,Michael Miller,2025-04-26,E018,Quoted
KBD-RFQ0042 ,KBD-CUST0011,2025-07-13,Portal,Steven White,2025-07-14,E025,Quoted
KBD-RFQ0043,KBD-CUST0007,2025-12-25,Portal,Richard Martin,2026-01-01,E017,Quoted
KBD-RFQ0044,KBD-CUST0003,"Apr 16, 2025",Email,Robert Jones,2025-04-20 ,E025,Quoted
KBD-RFQ0045,KBD-CUST0029,2025-10-24,Portal,Betty Anderson,2025-10-29,E017,Quoted
KBD-RFQ0046,KBD-CUST0006,2026-02-16,Email,Robert King,2026-02-22,E013,Quoted
KBD-RFQ0047,KBD-CUST0011,2026-01-28,Portal,Steven White,02/04/2026,E018,Quoted
KBD-RFQ0048,KBD-CUST0018,03/17/26,EDI 840,Omar Schneider,2026-03-21,E014,Quoted
KBD-RFQ0049,KBD-CUST0032,2025-11-26,Email,Priya Harris,2025-12-03,E024,Quoted
KBD-RFQ0050,KBD-CUST0004,"Feb 24, 2026",EDI 840,Elizabeth Lopez,02/27/2026,E013,Quoted
KBD-RFQ0051,KBD-CUST0032,2025-04-11,Phone,Priya Harris,2025-04-14,E016,Quoted
KBD-RFQ0052,KBD-CUST0008,2025-09-03,EDI 840,Carlos Nakamura,2025-09-05,E024,Quoted
KBD-RFQ0053,KBD-CUST0025,03/07/26,Portal,William White,2026-03-12,E013,Quoted
KBD-RFQ0054,KBD-CUST0007,2025-10-31,Phone,Richard Martin,2025-11-06,E015,Quoted
KBD-RFQ0055,KBD-CUST0024,2025-10-22,Portal,Michael Schneider,2025-10-25,E018,Quoted
KBD-RFQ0056,KBD-CUST0016,"Jan 27, 2026",Phone,Anthony Allen,2026-01-30,E025,Quoted
KBD-RFQ0057,KBD-CUST0001,2025-04-15,EDI 840,Priya Rodriguez,"Apr 17, 2025",E018,Quoted
KBD-RFQ0058,KBD-CUST0006,2025-09-24,Email,Robert King,2025-09-28,E017,Quoted
KBD-RFQ0059,KBD-CUST0015,2025-07-15,Email,Paul Wright,2025-07-18,E025,Quoted
KBD-RFQ0060,KBD-CUST0030,2025-12-25,Phone,Joseph Clark,2025-12-30,E024,Quoted
KBD-RFQ0061,KBD-CUST0008,2025-08-29,Portal,Richard Clark,2025-09-04,E015,Quoted
KBD-RFQ0062,KBD-CUST0005,2025-08-19,Phone,Priya Clark,2025-08-23,E014,Quoted
KBD-RFQ0063,KBD-CUST0029,2026-02-01,Portal,Betty Anderson,2026-02-05,E025,Quoted 
KBD-RFQ0064,KBD-CUST0005,12/21/25,Email,Priya Clark,26-Dec-2025,E018,Quoted
KBD-RFQ0065,KBD-CUST0010,2026-01-15,Phone,Michael Miller,2026-01-18,E025,Quoted
KBD-RFQ0066,KBD-CUST0031,2025-07-27,Portal,Joseph Okafor,2025-08-04,E014,Quoted
KBD-RFQ0067,KBD-CUST0003,2025-08-10 ,Email,Robert Jones,"Aug 12, 2025",E017,Quoted
KBD-RFQ0068,KBD-CUST0025,2025-05-20,Email,William White ,2025-05-25,E016,Quoted
KBD-RFQ0069,KBD-CUST0004,2025-04-23,Phone,Elizabeth Lopez,2025-04-29,E013,Quoted
KBD-RFQ0070,KBD-CUST0006,2025-06-12,Portal,Robert King,2025-06-13,E015,Quoted
KBD-RFQ0071,KBD-CUST0001 ,2026-01-20,Email,Sarah Choi,2026-01-23,E018,Quoted
KBD-RFQ0072,KBD-CUST0015,2025-06-18,Email,Linda Wright,2025-06-25 ,E013,Quoted
KBD-RFQ0073,KBD-CUST0007,2026-01-13,EDI 840 ,Richard Martin,2026-01-17,E013,Quoted
KBD-RFQ0074,KBD-CUST0011,2025-05-19,Portal,Elena O'Brien,2025-05-25,E016 ,Quoted
KBD-RFQ0075,KBD-CUST0021,03/21/26,Portal,Maria Harris,2026-03-27,E013,Quoted
KBD-RFQ0076,KBD-CUST0025,2026-01-07,Phone,William White,2026-01-13,E018,Quoted
KBD-RFQ0077,KBD-CUST0031,2025-06-06,Portal,Joseph Okafor,2025-06-11,E016,Quoted
KBD-RFQ0078,KBD-CUST0006,2025-12-23,Email,Andrew Clark,2025-12-29,E025,Quoted
KBD-RFQ0079,KBD-CUST0016,2025-09-27,EDI 840,Maria Delgado,2025-10-05,E017,Quoted
KBD-RFQ0080,KBD-CUST0006,03-Jul-2025,Phone,Robert King,2025-07-04,E018,Quoted
KBD-RFQ0081,KBD-CUST0008,2025-05-27,Email ,Ashley Schneider,2025-06-01,E015,Quoted
KBD-RFQ0082,KBD-CUST0032,2025-11-22,Portal,Priya Harris ,2025-11-25,E018,Quoted
KBD-RFQ0083,KBD-CUST0003,2025-05-22,Phone,Robert Jones,2025-05-25,E025,Quoted
KBD-RFQ0084,KBD-CUST0030,2025-05-01,Email,Joseph Clark,08-May-2025,E015,Quoted
KBD-RFQ0085,KBD-CUST0029,2025-11-03,Email,Joseph Brown,2025-11-09,E017,Quoted
KBD-RFQ0086,KBD-CUST0004,2026-01-22,Email,Elizabeth Lopez,2026-01-24,E025,Quoted
KBD-RFQ0087,KBD-CUST0016,"Jun 26, 2025",Email,Maria Delgado,"Jun 29, 2025",E016,Quoted
KBD-RFQ0088,KBD-CUST0017,2025-10-28,Phone,Nancy Moore,2025-11-04,E014,Quoted
KBD-RFQ0089,KBD-CUST0018,2025-06-28,Email,Omar Schneider,2025-07-03,E014,Quoted
KBD-RFQ0090,KBD-CUST0030,2026-01-06,Email,Joseph Clark,2026-01-10,E025,Quoted
KBD-RFQ0091,KBD-CUST0021,2026-03-20,Email,Andrew Wright,2026-03-28,E024,Quoted
KBD-RFQ0092,KBD-CUST0026,2026-02-20,Email,Fatima Delgado,2026-02-23 ,E024,Quoted
KBD-RFQ0093,KBD-CUST0021,2026-01-11,Phone,Fatima Robinson,01/14/26,E013,Quoted
KBD-RFQ0094,KBD-CUST0016,2025-10-31,Email,Maria Delgado,2025-11-02,E024,Quoted
KBD-RFQ0095,KBD-CUST0014,2025-09-11,Email,Fatima Okafor,2025-09-14,E016,Quoted
KBD-RFQ0096,KBD-CUST0025,2026-01-18,Email,William White,2026-01-23,E024,Quoted
KBD-RFQ0097,KBD-CUST0005,2025-08-01,EDI 840,Jessica Nakamura,2025-08-07,E014,Quoted
KBD-RFQ0098,KBD-CUST0028,2025-07-27,Portal,Wei Martinez,2025-07-31,E016,Quoted
KBD-RFQ0099,KBD-CUST0021,2025-06-24,Portal,Andrew Wright,2025-06-25,E025,Quoted
KBD-RFQ0100,KBD-CUST0030,2026-01-01,EDI 840,Joseph Clark,01/06/2026,E013,Quoted
KBD-RFQ0101,KBD-CUST0010,2025-10-12,Phone,Michael Miller,2025-10-15,E016,Quoted
KBD-RFQ0102,KBD-CUST0010,2025-06-29,EDI 840,Michael Miller,02-Jul-2025,E014,Quoted
KBD-RFQ0103,KBD-CUST0017,2025-08-20,Phone,Carlos Lewis,2025-08-26,E013,Quoted
KBD-RFQ0104,KBD-CUST0015,2026-01-16,Phone,Paul Wright,2026-01-19,E016,Quoted
KBD-RFQ0105,KBD-CUST0018,2026-03-03,Email,Omar Schneider,2026-03-10,E018,Quoted
KBD-RFQ0106,KBD-CUST0018,2025-08-10,Email,Michael Hernandez,2025-08-13,E016,Quoted
KBD-RFQ0107,KBD-CUST0023,2025-11-18,Portal,Nancy O'Brien,2025-11-22,E025,Quoted
KBD-RFQ0108,KBD-CUST0026,05/03/25,Email,Fatima Delgado,2025-05-09,E025,Quoted
KBD-RFQ0109,KBD-CUST0018,2025-06-21,Phone,Omar Schneider,2025-06-27,E025,Quoted
KBD-RFQ0110,KBD-CUST0021,2026-01-10,Phone,Andrew Wright,"Jan 15, 2026",E015,Quoted
KBD-RFQ0111,KBD-CUST0030,2025-05-06,Portal,Joseph Clark,2025-05-14 ,E025,Quoted
KBD-RFQ0112,KBD-CUST0015,2025-09-05,Email,Paul Wright,2025-09-11,E025,Quoted
KBD-RFQ0113,KBD-CUST0007,2025-12-27,Email,Richard Martin,2025-12-28,E018,Quoted
KBD-RFQ0114,KBD-CUST0019,2026-01-15,Email,Nancy Scott,2026-01-19,E017,Quoted
KBD-RFQ0115,KBD-CUST0008,2025-09-10,Email,Richard Clark,2025-09-15,E024,Quoted
KBD-RFQ0116,KBD-CUST0010,2026-01-11,Phone,Michael Miller,2026-01-19,E016,Quoted
KBD-RFQ0117,KBD-CUST0027,2025-08-25,Phone,Hiro Martin,2025-08-31 ,E025,Quoted
KBD-RFQ0118,KBD-CUST0031,2025-08-28,Email,Anthony Harris,2025-09-03,E025,Quoted
KBD-RFQ0119,KBD-CUST0024,2025-10-29,EDI 840,William Garcia,2025-11-06,E025,Quoted
