Driver Id,Policy Id,Client Id,Driver Name,Date Of Birth,License State,License Number,Cdl,Years Experience,Mvr Date,Violations 3Yr,Accidents 3Yr
HAR-P00070-D04,HAR-P00070,HAR-C0021,Michelle Delgado,1980-11-09,FL,FL21187569,N,6,2025-11-23,1,1
HAR-P00070-D05,HAR-P00070,HAR-C0021,Ashley Clark,1997-05-21,FL,FL47840387,N,11,2025-03-27,0,0
HAR-P00070-D06,HAR-P00070,HAR-C0021,Brian Smith,1989-04-20,FL,FL69644775,N,1,2025-02-10,1,1
HAR-P00070-D07,HAR-P00070,HAR-C0021,Wei Kowalski,2003-04-18,FL,FL78971160,N,19,2025-04-02,1,0
HAR-P00070-D08,HAR-P00070,HAR-C0021,Thomas Miller ,1981-09-26,FL,FL80673819,N,1,2025-09-12,2,0
HAR-P00070-D09,HAR-P00070,HAR-C0021,Hiro Brown,1981-10-15,FL,FL62922712,N,16,2025-08-08,0,0
HAR-P00070-D10,HAR-P00070,HAR-C0021 ,Anthony Hernandez,2002-12-11,FL,FL54433718,N,22,2025-04-09,0,0
HAR-P00081-D01,HAR-P00081,HAR-C0024,Matthew Robinson,1994-05-03,FL,FL92937696,N,6,2025-08-29,0,0
HAR-P00081-D02,HAR-P00081,HAR-C0024,Carlos Hernandez,1983-08-14 ,FL,FL91476032,N,30,2025-06-21,0,1
HAR-P00081-D03,HAR-P00081,HAR-C0024,Linda Martinez,1983-04-09,FL,FL96325532,N,16,2026-02-03,2,1
HAR-P00081-D04,HAR-P00081,HAR-C0024,Elizabeth Delgado,2003-09-07,FL,FL16068986,N,32,2025-10-28,0,0
HAR-P00081-D05,HAR-P00081 ,HAR-C0024,Sarah Schneider,1975-12-30,FL,FL44475628,N,20,2025-09-14,0,0
HAR-P00081-D06,HAR-P00081,HAR-C0024,Emily Jones,1963-07-17,FL,FL12690196,N,33,2025-06-28,2,1
HAR-P00081-D07,HAR-P00081,HAR-C0024,Lisa Anderson,2000-11-12,FL,FL92321370,N,20,"Sep 10, 2025",0,0
HAR-P00081-D08,HAR-P00081,HAR-C0024 ,Brian Anderson ,1999-07-27,FL ,FL33207983,N,31,2026-02-12,1,0
HAR-P00081-D09,HAR-P00081,HAR-C0024,Linda Thomas,1993-11-25,FL,FL98864433,N,31,2025-02-05,0,0
HAR-P00081-D10,HAR-P00081,HAR-C0024,Fatima Thompson,1960-09-05,FL,FL90844007,N,28,2025-05-30,1,0
HAR-P00081-D11,HAR-P00081,HAR-C0024,Patricia Rodriguez,1962-10-06,FL,FL16837481,N,26,2025-01-17,0,1
HAR-P00094-D01,HAR-P00094,HAR-C0029,Sandra Taylor,1989-02-27,FL,FL19744035 ,N,22,2025-10-29,0,0
HAR-P00094-D02,HAR-P00094,HAR-C0029,Aisha Miller,1960-10-21,FL,FL65544756,N,8,"Dec 14, 2025",1,1
HAR-P00094-D03,HAR-P00094,HAR-C0029,Daniel Delgado,1968-05-23,FL,FL28366626,N,9,2025-05-12,0,0
HAR-P00094-D04,HAR-P00094,HAR-C0029,Elizabeth Brown,1961-03-17,FL,FL21534408,N,21,2026-03-13,1,0
HAR-P00098-D01,HAR-P00098,HAR-C0030,Lisa Nakamura,1986-04-24,FL,FL41152991,N,7,23-Jul-2025,0,1
HAR-P00098-D02,HAR-P00098,HAR-C0030,Priya Harris,1969-06-29,FL,FL68918236,N,3,2025-04-03,0,0
HAR-P00098-D03,HAR-P00098,HAR-C0030,Sandra Robinson,2001-08-19,FL,FL92205771,N,13,2025-07-28,0,0
HAR-P00098-D04,HAR-P00098,HAR-C0030,Daniel Lewis,1991-04-28,FL,FL18370784,N,33,2025-03-23,0,0
