PAY_DATE,EMPLOYEE_ID,EMPLOYEE_NAME,GROSS_PAY,COMMISSION_BONUS,FEDERAL_WITHHOLDIN,STATE_WITHHOLDING,FICA,401K_EMPLOYEE,HEALTH_PREMIUM_EMP,NET_PAY
31-Mar-2026,E001,Sandra Wright,3458.33,3994,553.33,155.62,264.56,172.92,0,6305.9
2026-03-15,E002,Aisha Davis,5041.67,0,806.67,226.88,385.69,0.0,142.5,3479.93
"Mar 31, 2026",E002,Aisha Davis,5041.67,"$1,099.00",806.67,226.88,385.69,252.08,$310.00,4159.35
03/15/26,E003,Patricia O'Brien,3708.33,$0.00,593.33,166.87,283.69,111.25,310.0,2243.19
31-Mar-2026,E003,Patricia O'Brien,3708.33,"$2,144.00",,166.87,283.69,0.0,485.0,4323.44
,E004,David Walker,2458.33,0,393.33,110.62,188.06,73.75,310.0,1382.57
2026-03-31,E004 ,David Walker,2458.33,0,393.33,110.62,188.06,73.75,,1382.57
2026-03-15,E005,Daniel Martin,3125.0,$0.00,500.0,140.62,239.06,156.25,142.5,1946.57
2026-03-31,E005,Daniel Martin,3125.0,$0.00,500.0,140.62,239.06,93.75,142.5,2009.07
2026-03-15,E006,MICHAEL WRIGHT,2291.67,$0.00,366.67,103.13,175.31,68.75,$310.00,1267.81
2026-03-31,E006,Michael Wright,2291.67,0,366.67,103.13,175.31,114.58,$0.00,1531.98
2026-03-15,E007,Richard Wilson,4583.33,0,733.33,206.25,350.62,275.0,$142.50,2875.63
2026-03-31,E007,Richard Wilson,4583.33,0,733.33,206.25,350.62,0.0,$0.00,3293.13
2025-11-15,E002,Aisha Davis,5041.67,0,806.67,226.88,385.69,302.5,485.0,2834.93
2026-03-15,E008,Emily Thompson,2250.0,$0.00,360.0,101.25,172.12,135.0,,1171.63
31-Mar-2026,E008,Emily Thompson,2250.0,$0.00,360.0,101.25,172.12,135.0,0,1481.63
2026-03-15,E009,David Fitzgerald,2916.67,0,466.67,131.25,223.13,145.83,$142.50,1807.29
31-Mar-2026,E009,David Fitzgerald,2916.67,$0.00,466.67,131.25,223.13,87.5,0,2008.12
2026-03-15,E010,Carlos Jackson,7750.0,0,1240.0,348.75,592.88,0.0,$0.00,5568.37
2026-03-31,E010,Carlos Jackson,7750.0,$0.00,1240.0,348.75,592.88,232.5,310.0,5025.87
03/15/26,E011,Joseph White,2250.0,0,360.0,101.25,172.12,0.0,$142.50,1474.13
"Mar 31, 2026",E011,Joseph White,2250.0,$0.00,360.0,101.25,172.12,0.0,$310.00,1306.63
15-Mar-2026,E012,Matthew Hernandez,1875.0,$0.00,300.0,84.38,143.44,93.75,310.0,943.43
2026-03-31,E012,Matthew Hernandez,1875.0,0,300.0,84.38,143.44,93.75,$485.00,768.43
