driver_id,policy_id,client_id,driver_name,date_of_birth,license_state,license_number,cdl,years_experience,mvr_date,violations_3yr,accidents_3yr
MER-P00119-D24,MER-P00119,MER-C0037,Susan Johnson,1987-02-20,NY,NY96190517,Y,7,2025-01-06,1,0
MER-P00119-D25,MER-P00119,MER-C0037,Jennifer Young,1993-07-27,NY,NY53522855,Y,3,2025-04-09,0,0
MER-P00119-D26,MER-P00119,MER-C0037,Betty Robinson,1986-12-30,NY,NY32183936,Y,6,2025-03-30,1,1
MER-P00119-D27,MER-P00119,MER-C0037,Mark Thomas,1970-06-29,NY,NY83830428,Y,19,2026-03-03,0,0
MER-P00119-D28,MER-P00119,MER-C0037,Susan Harris,1963-10-10,NY,NY34640798,Y,20,2026-01-19,1,0
MER-P00119-D29,MER-P00119,MER-C0037,Andrew Robinson,1980-08-05,NY,NY38686193,Y,1,2025-08-28,0,0
MER-P00119-D30,MER-P00119,MER-C0037,Paul King,1988-08-07,NY,NY79004090,Y,30,2025-05-20,2,0
MER-P00119-D31,MER-P00119,MER-C0037,Elena Smith,1980-06-06,NY,NY39944710,Y,1,2025-07-23,1,0
MER-P00119-D32,MER-P00119,MER-C0037,William Brown,1991-06-11,NY,NY14388054,Y,7,2025-12-08,1,0
MER-P00119-D33,MER-P00119,MER-C0037,Joseph Thompson,1997-01-05,NY,NY57816969,Y,5,2025-01-05,1,1
MER-P00119-D34,MER-P00119,MER-C0037,Nancy Lewis,1988-04-25,NY,NY20660285,Y,21,2025-04-02,0,1
MER-P00119-D35,MER-P00119,MER-C0037,Andrew Martin,1970-02-11,NY,NY16601052,Y,29,2025-10-10,1,0
MER-P00119-D36,MER-P00119,MER-C0037,Joseph King,2000-12-02,NY,NY91507626,Y,22,2025-11-30,0,1
MER-P00119-D37,MER-P00119,MER-C0037,Ashley Young,1984-05-12,NY,NY52416228,Y,12,2025-04-03,2,0
MER-P00119-D38,MER-P00119,MER-C0037,Daniel Robinson,1984-07-12,NY,NY94611639,Y,24,2025-12-24,0,0
MER-P00119-D39,MER-P00119,MER-C0037,Sarah Garcia,2001-09-30,NY,NY52271440,Y,20,2025-01-12,0,1
MER-P00119-D40,MER-P00119,MER-C0037,Matthew Nakamura,1982-11-28,NY,NY24906596,Y,5,2025-03-12,0,0
MER-P00119-D41,MER-P00119,MER-C0037,Thomas White,1962-12-11,NY,NY20451017,Y,20,2025-03-12,0,0
